REGION,Total,Arson,Campfire,Debris Burning,Equip. Use,Ltng.,Misc.,Powerline,P-W-F,Rail-road,Smoking,Undet.,Vehicle,year ,region 
Santa Cruz,"$749,518 ",$0 ,$2 ,$1 ,$0 ,$400 ,$0 ,$800 ,$0 ,$0 ,$5 ,"$741,300 ","$7,010 ",2013,north
San Mateo-Santa Cruz,"$750,733 ",$0 ,$2 ,$1 ,$200 ,$400 ,$0 ,$800 ,$0 ,$0 ,$5 ,"$741,315 ","$8,010 ",2013,north
Alameda,"$142,125 ",$0 ,$0 ,$400 ,"$21,050 ","$25,300 ",$0 ,$0 ,$0 ,$0 ,"$10,000 ","$11,875 ","$73,500 ",2013,north
Contra Costa,"$112,910 ",$110 ,$0 ,$100 ,"$4,100 ","$3,400 ",$0 ,"$105,000 ",$0 ,$0 ,$0 ,$200 ,$0 ,2013,north
Santa Clara,"$13,560 ",$0 ,$0 ,"$10,000 ","$2,000 ",$0 ,$0 ,"$1,200 ",$0 ,$0 ,$0 ,$360 ,$0 ,2013,north
W. San Joaquin,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013,north
W. Stanislaus,"$119,100 ",$0 ,$0 ,$0 ,$0 ,"$2,000 ",$0 ,"$90,000 ",$0 ,$0 ,$0 ,"$27,100 ",$0 ,2013,north
Santa Clara,"$387,695 ",$110 ,$0 ,"$10,500 ","$27,150 ","$30,700 ",$0 ,"$196,200 ",$0 ,$0 ,"$10,000 ","$39,535 ","$73,500 ",2013,north
E. Trinity,"$2,250 ",$0 ,$0 ,$250 ,$0 ,"$2,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013,north
Shasta,"$5,501,893 ","$23,501 ",$0 ,"$43,001 ","$15,600 ","$5,000 ",$0 ,"$1,200 ",$0 ,$0 ,$600 ,"$5,407,791 ","$5,200 ",2013,north
Shasta-Trinity,"$5,504,143 ","$23,501 ",$0 ,"$43,251 ","$15,600 ","$7,000 ",$0 ,"$1,200 ",$0 ,$0 ,$600 ,"$5,407,791 ","$5,200 ",2013,north
Shasta,$1 ,$0 ,$0 ,$0 ,$0 ,$0 ,$1 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013,north
Siskiyou,"$2,400 ",$0 ,$0 ,$0 ,$0 ,"$2,400 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013,north
Siskiyou,"$2,401 ",$0 ,$0 ,$0 ,$0 ,"$2,400 ",$1 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013,north
Colusa,"$1,020 ",$0 ,$0 ,$0 ,$0 ,$20 ,$0 ,$0 ,$0 ,$0 ,$0 ,$900 ,$100 ,2013,north
Lake,"$404,321 ",$100 ,$0 ,$501 ,"$111,000 ",$600 ,$0 ,"$240,050 ",$0 ,$0 ,$0 ,"$9,050 ","$43,020 ",2013,north
Napa,"$102,762 ",$0 ,$100 ,$0 ,"$34,000 ",$0 ,$0 ,"$2,600 ",$0 ,$0 ,$0 ,"$54,040 ","$12,022 ",2013,north
Solano,"$327,704 ",$0 ,$0 ,$2 ,"$86,400 ","$220,002 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$6,000 ","$15,300 ",2013,north
Sonoma,"$9,366,896 ",$0 ,$0 ,$0 ,"$9,265,420 ","$21,576 ",$100 ,"$75,500 ",$0 ,$0 ,$0 ,"$4,300 ",$0 ,2013,north
Yolo,"$15,000 ",$0 ,$0 ,$0 ,$0 ,"$15,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013,north
Sonoma-Lake-Napa,"$10,217,703 ",$100 ,$100 ,$503 ,"$9,496,820 ","$257,198 ",$100 ,"$318,150 ",$0 ,$0 ,$0 ,"$74,290 ","$70,442 ",2013,north
Glenn,"$2,500 ",$0 ,$0 ,"$2,500 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013,north
Tehama,"$346,400 ",$0 ,$0 ,$0 ,"$61,500 ","$6,900 ",$300 ,"$15,000 ",$600 ,$0 ,"$5,000 ","$254,100 ","$3,000 ",2013,north
Tehama-Glenn,"$348,900 ",$0 ,$0 ,"$2,500 ","$61,500 ","$6,900 ",$300 ,"$15,000 ",$600 ,$0 ,"$5,000 ","$254,100 ","$3,000 ",2013,north
Fresno,"$58,000 ","$7,000 ",$0 ,$0 ,"$17,000 ","$11,300 ",$500 ,"$10,000 ",$0 ,$0 ,$0 ,"$12,200 ",$0 ,2013,south
Kings,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013,south
Fresno-Kings,"$58,000 ","$7,000 ",$0 ,$0 ,"$17,000 ","$11,300 ",$500 ,"$10,000 ",$0 ,$0 ,$0 ,"$12,200 ",$0 ,2013,south
Madera,"$12,650 ",$400 ,$100 ,$0 ,$0 ,"$7,250 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$4,800 ",$100 ,2013,south
Mariposa,$400 ,$0 ,$0 ,$0 ,$0 ,$300 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$100 ,2013,south
Merced,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013,south
Madera-Mariposa,"$13,050 ",$400 ,$100 ,$0 ,$0 ,"$7,550 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$4,800 ",$200 ,2013,south
Riverside,"$7,978,346 ",$0 ,$0 ,"$2,000 ","$1,138,100 ","$11,200 ",$0 ,"$404,448 ",$0 ,$0 ,$0 ,"$3,188,148 ","$3,234,450 ",2013,south
Riverside,"$7,978,346 ",$0 ,$0 ,"$2,000 ","$1,138,100 ","$11,200 ",$0 ,"$404,448 ",$0 ,$0 ,$0 ,"$3,188,148 ","$3,234,450 ",2013,south
Monterey,"$3,875 ",$0 ,$2 ,$50 ,"$2,000 ",$40 ,$0 ,"$1,001 ",$0 ,$0 ,$1 ,$0 ,$781 ,2013,south
San Benito,"$22,600 ",$0 ,$0 ,"$5,000 ",$0 ,"$8,000 ",$0 ,"$1,000 ",$0 ,$0 ,$0 ,$0 ,"$8,600 ",2013,south
San Benito-Monterey,"$26,475 ",$0 ,$2 ,"$5,050 ","$2,000 ","$8,040 ",$0 ,"$2,001 ",$0 ,$0 ,$1 ,$0 ,"$9,381 ",2013,south
Inyo,"$60,350 ",$0 ,$0 ,$0 ,"$10,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$350 ,"$50,000 ",2013,south
San Bernardino,"$7,326 ",$0 ,$0 ,$0 ,$0 ,"$5,000 ",$300 ,"$2,000 ",$0 ,$25 ,$0 ,$1 ,$0 ,2013,south
San Bernardino,"$67,676 ",$0 ,$0 ,$0 ,"$10,000 ","$5,000 ",$300 ,"$2,000 ",$0 ,$25 ,$0 ,$351 ,"$50,000 ",2013,south
San Diego,"$277,957 ",$0 ,"$1,300 ",$0 ,"$1,500 ","$70,200 ",$0 ,$2 ,$1 ,$0 ,$0 ,"$202,154 ","$2,800 ",2013,south
San Diego,"$277,957 ",$0 ,"$1,300 ",$0 ,"$1,500 ","$70,200 ",$0 ,$2 ,$1 ,$0 ,$0 ,"$202,154 ","$2,800 ",2013,south
San Luis Obispo,"$41,050 ",$0 ,$0 ,$0 ,"$11,300 ","$1,550 ",$0 ,"$1,100 ",$0 ,$0 ,$0 ,"$7,600 ","$19,500 ",2013,south
San Luis Obispo,"$41,050 ",$0 ,$0 ,$0 ,"$11,300 ","$1,550 ",$0 ,"$1,100 ",$0 ,$0 ,$0 ,"$7,600 ","$19,500 ",2013,south
Tulare,"$30,920 ","$15,000 ",$0 ,$0 ,$500 ,"$15,400 ",$0 ,$0 ,$0 ,$0 ,$0 ,$20 ,$0 ,2013,south
Calaveras,"$48,644 ",$402 ,$125 ,"$1,592 ","$9,720 ","$13,100 ",$0 ,"$6,600 ",$0 ,$0 ,$100 ,"$14,205 ","$2,800 ",2013,south
E. San Joaquin,"$75,500 ",$0 ,$0 ,$0 ,$0 ,"$70,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$5,500 ",$0 ,2013,south
E. Stanislaus,"$11,880 ",$210 ,$0 ,$0 ,"$5,000 ",$50 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$6,620 ",$0 ,2013,south
Tuolumne,"$107,172 ",$0 ,$100 ,$802 ,"$35,650 ","$66,850 ",$0 ,$510 ,$0 ,$0 ,$600 ,"$1,110 ","$1,550 ",2013,south
Tuolumne-Calaveras,"$243,196 ",$612 ,$225 ,"$2,394 ","$50,370 ","$150,000 ",$0 ,"$7,110 ",$0 ,$0 ,$700 ,"$27,435 ","$4,350 ",2013,south
