NORTHERN REGION,Total,Arson,Campfire,Debris Burning,Equip. Use,Ltng.,Misc.,Power-line,P-W-F,Rail-road,Smoking,Undet.,Vehicle,year ,region 
Glenn,$0 ,$0 ,$0 ,$0 ,,$0 ,$0 ,$0 ,$0 ,,$0 ,$0 ,$0 ,2011,north
Tehama,"$86,820 ",$300 ,$0 ,$520 ,"$2,100 ",$0 ,"$2,200 ","$80,000 ",$0 ,,"$1,000 ",$700 ,$0 ,2011,north
Tehema-Glenn,"$86,820 ",$300 ,$0 ,$520 ,"$2,100 ",$0 ,"$2,200 ","$80,000 ",$0 ,$0 ,"$1,000 ",$700 ,$0 ,2011,north
Fresno,"$109,085 ","$2,000 ",$500 ,$200 ,"$15,650 ",$0 ,"$62,335 ","$5,200 ",$0 ,$0 ,$0 ,"$3,200 ","$20,000 ",2011,south 
Kings,"$1,200 ",$0 ,$0 ,$0 ,"$1,000 ",$0 ,$200 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,south 
Fresno-Kings,"$110,285 ","$2,000 ",$500 ,$200 ,"$16,650 ",$0 ,"$62,535 ","$5,200 ",$0 ,$0 ,$0 ,"$3,200 ","$20,000 ",2011,south 
Madera,"$26,145 ",$200 ,$0 ,$100 ,"$2,025 ",$0 ,$500 ,"$15,000 ",$0 ,$0 ,$0 ,"$8,320 ",$0 ,2011,south 
Mariposa,"$14,003 ",$0 ,$0 ,"$10,001 ",$100 ,$0 ,$2 ,"$3,400 ",$0 ,$0 ,$0 ,$500 ,$0 ,2011,south 
Merced,"$81,080 ",$0 ,$0 ,$0 ,"$60,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$9,780 ","$11,300 ",2011,south 
Madera-Mariposa,"$121,228 ",$200 ,$0 ,"$10,101 ","$62,125 ",$0 ,$502 ,"$18,400 ",$0 ,$0 ,$0 ,"$18,600 ","$11,300 ",2011,south 
Riverside,"$335,600 ",$0 ,$0 ,$0 ,"$157,600 ",$0 ,"$51,000 ","$17,000 ",$0 ,$0 ,$0 ,"$51,000 ","$59,000 ",2011,south 
Riverside,"$335,600 ",$0 ,$0 ,$0 ,"$157,600 ",$0 ,"$51,000 ","$17,000 ",$0 ,$0 ,$0 ,"$51,000 ","$59,000 ",2011,south 
Monterey,"$165,076 ",$250 ,$0 ,$400 ,$220 ,$0 ,"$132,586 ","$30,420 ",$0 ,$0 ,$0 ,"$1,100 ",$100 ,2011,south 
San Benito,"$8,215 ",$0 ,$0 ,$0 ,"$3,195 ",$0 ,$20 ,$0 ,$0 ,$0 ,$0 ,"$5,000 ",$0 ,2011,south 
