NORTHERN REGION,Total,Arson,Campfire,Debris Burning,Elec. Power,Equip. Use,Ltng.,Misc.,P-W-F,Railroad,Smoking,Undet.,Vehicle,year,region
San Diego,"$666,154 ",$0 ,$0 ,$0 ,$0 ,$2 ,$0 ,$150 ,$0 ,$0 ,$0 ,"$606,700 ","$59,302 ",2014,south 
San Diego,"$666,154 ",$0 ,$0 ,$0 ,$0 ,$2 ,$0 ,$150 ,$0 ,$0 ,$0 ,"$606,700 ","$59,302 ",2014,south 
San Luis Obispo,"$4,190 ",$0 ,$50 ,$0 ,$0 ,$900 ,$0 ,"$1,000 ",$0 ,$0 ,$0 ,"$1,240 ","$1,000 ",2014,south 
San Luis Obispo,"$4,190 ",$0 ,$50 ,$0 ,$0 ,$900 ,$0 ,"$1,000 ",$0 ,$0 ,$0 ,"$1,240 ","$1,000 ",2014,south 
Tulare,"$243,754 ","$91,754 ","$150,000 ",$0 ,"$1,000 ","$1,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014,south 
,"$243,754 ","$91,754 ","$150,000 ",$0 ,"$1,000 ","$1,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014,south 
Tulare -Calaveras,"$163,589 ",$0 ,$112 ,$980 ,"$30,100 ","$77,450 ","$2,025 ",$500 ,$620 ,$0 ,$25 ,"$23,575 ","$28,202 ",2014,south 
E. San Joaquin,"$9,605 ",$0 ,$0 ,$0 ,"$3,000 ","$3,800 ",$0 ,"$2,200 ",$0 ,$0 ,$0 ,$0 ,$605 ,2014,south 
E. Stanislaus,"$10,586 ",$0 ,$0 ,$0 ,$0 ,"$1,400 ",$0 ,$50 ,$0 ,$0 ,$0 ,"$5,136 ","$4,000 ",2014,south 
Tuolumne,"$499,363 ",$404 ,$0 ,"$3,700 ","$3,204 ","$1,000 ","$2,300 ",$0 ,$0 ,$0 ,$0 ,"$433,454 ","$55,301 ",2014,south 
Tuolumne-Calaveras,"$683,143 ",$404 ,$112 ,"$4,680 ","$36,304 ","$83,650 ","$4,325 ","$2,750 ",$620 ,$0 ,$25 ,"$462,165 ","$88,108 ",2014,south 
