county,year ,val_sf
Merced,2016,140.1809352
Marin,2016,594.0934444
Butte,2016,171.5769866
Yolo,2016,231.5855688
El Dorado,2016,231.5635207
Shasta,2016,159.8078815
Kings,2016,130.9743155
Madera,2016,141.2757573
Napa,2016,430.2543894
Humboldt,2016,199.3439904
Nevada,2016,246.7706286
Sutter,2016,145.9108279
Yuba,2016,143.469345
Lake,2016,161.864004
Tehama,2016,143.3018643
Tuolumne,2016,169.2386562
San Benito,2016,280.4201191
Calaveras,2016,184.4250285
Siskiyou,2016,139.2970913
Amador,2016,182.2004779
Lassen,2016,126.2786449
Glenn,2016,150.6753588
Colusa,2016,146.8299527
Plumas,2016,182.1588293
Inyo,2016,186.6941943
Mariposa,2016,163.0318147
Mono,2016,321.8452849
Trinity,2016,198.3602472
Modoc,2016,101.9984179
