,county,arson_num_fire_cause,campfire_num_fire_cause,debris_burning_num_fire_cause,equip_use_num_fire_cause,ltng_num_fire_cause,misc_num_fire_cause,p-w-f_num_fire_cause,powerline_num_fire_cause,railroad_num_fire_cause,smoking_num_fire_cause,undet_num_fire_cause,vehicle_num_fire_cause,.25_acres_or_<_num_fire_size,.26-9.99_acres_num_fire_size,10-99_acres_num_fire_size,100-299_acres_num_fire_size,300-999_acres_num_fire_size,1000-4999_acres_num_fire_size,5000_acres_>_num_fire_size,arson_num_acres_cause,campfire_num_acres_cause,debris_burning_num_acres_cause,equip_use_num_acres_cause,ltng_num_acres_cause,misc_num_acres_cause,p-w-f_num_acres_cause,powerline_num_acres_cause,railroad_num_acres_cause,smoking_num_acres_cause,undet_num_acres_cause,vehicle_num_acres_cause,brush_num_acres_veg,grass_num_acres_veg,timber_num_acres_veg,woodland_num_acres_veg,other_num_acres_veg,arson_dollar_cause,campfire_dollar_cause,debris_burning_dollar_cause,equip_use_dollar_cause,ltng_dollar_cause,misc_dollar_cause,p-w-f_dollar_cause,powerline_dollar_cause,railroad_dollar_cause,smoking_dollar_cause,undet_dollar_cause,vehicle_dollar_cause,.25_acres_or_<_dollar_size,.26-9.99_acres_dollar_size,10-99_acres_dollar_size,100-299_acres_dollar_size,300-999_acres_dollar_size,1000-4999_acres_dollar_size,5000_acres_>_dollar_size,year,region,county_year,labor_force,employment,unemployment,unemployment_rate
82,San Bernardino,5,0,5,19,3,40,1,5,0,3,21,0,46,44,8,3,0,1,0,0,0,2,20,2,296,1,15,0,2,1653,0,63,503,0,0,1426,0,0,0,39002,0,108,0,0,0,0,380700,0,2000,137802,8,0,0,280000,0,2011,0,San Bernardino_2011,888500,774175,114367,0.12871918964547
83,San Diego,6,0,8,28,8,57,0,9,0,2,77,1,87,86,18,3,0,1,1,14138,0,23,136,220,374,0,239,0,1,2306,2,16883,461,2,0,93,5000,0,0,99800,0,232162,0,500,0,0,3500,1000,9762,94200,232000,0,0,1000,5000,2011,0,San Diego_2011,1524567,1367242,157333,0.103198481929623
84,San Joaquin,0,0,0,1,0,4,0,0,0,0,2,0,2,5,0,0,0,0,0,0,0,0,5,0,15,0,0,0,0,2,0,0,18,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,1,San Joaquin_2011,311367,260992,50367,0.161760880247425
85,San Luis Obispo,2,0,9,24,1,54,0,6,0,0,27,3,59,57,7,1,1,1,0,1,0,17,1957,1,62,0,67,0,0,243,44,6,2366,2,0,17,0,0,0,89300,0,28900,0,3000,0,0,2000,0,25000,28700,56000,2000,0,11500,0,2011,0,San Luis Obispo_2011,134358,121500,12867,0.09576653418479
86,San Mateo,0,0,0,2,0,5,0,0,0,0,3,0,4,6,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,1,San Mateo_2011,399875,369825,30042,0.075128477649265
87,Santa Clara,2,2,2,6,0,13,0,5,0,0,8,0,20,14,4,0,0,0,0,0,0,1,51,0,43,5,0,0,0,13,0,5,78,1,0,29,0,0,0,16500,0,8000,0,0,,0,0,0,200,7200,17100,0,0,0,0,2011,1,Santa Clara_2011,939833,852408,87425,0.093021845370401
88,Santa Cruz,0,2,6,5,0,27,0,9,0,0,11,0,41,19,0,0,0,0,0,0,0,4,3,0,8,0,1,0,0,4,0,0,4,11,0,5,0,0,1,2000,0,11025,0,400,0,0,0,0,11425,2001,0,0,0,0,0,2011,1,Santa Cruz_2011,141350,122842,18458,0.130583657587549
89,Shasta,12,1,27,11,18,51,1,4,0,3,29,1,76,74,8,0,0,0,0,6,0,69,15,5,101,1,19,0,3,127,1,34,188,36,49,40,200,0,14800,1000,0,100,0,2500,,1000,14000,0,3500,19100,11000,0,0,0,0,2011,1,Shasta_2011,77042,64758,12275,0.159328677864022
90,Sierra,0,0,0,0,0,0,0,0,0,0,5,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,11,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,1,Sierra_2011,1602,1363,239,0.149188514357054
91,Siskiyou,1,0,13,4,8,20,1,1,0,0,5,4,34,18,4,0,0,0,0,1,0,22,18,24,21,1,0,0,0,13,0,3,62,1,9,24,0,0,0,1000,0,250402,0,0,0,0,0,40000,41200,250202,0,0,0,0,0,2011,1,Siskiyou_2011,19437,16135,3301,0.169830735195761
92,Solano,1,0,4,2,0,2,0,0,0,0,6,1,2,12,1,0,1,0,0,715,0,3,16,0,2,0,0,0,0,15,0,0,749,0,0,0,0,0,0,2500,0,20,0,0,,0,500,0,0,520,2500,0,0,0,0,2011,1,Solano_2011,202242,177625,24625,0.121760069619565
93,Sonoma,0,1,9,9,0,29,0,6,0,0,17,3,43,30,1,0,0,0,0,0,1,6,35,0,9,0,5,0,0,14,1,0,53,5,1,10,0,0,0,5100,0,271100,0,201,,0,0,0,201,276200,0,0,0,0,0,2011,1,Sonoma_2011,246150,220950,25208,0.10240910014219
94,Sutter,0,0,0,0,0,1,0,0,0,0,3,0,0,1,1,2,0,0,0,0,0,0,0,0,112,0,0,0,0,245,0,0,117,0,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,1,Sutter_2011,45942,37600,8333,0.181380871533673
95,Tehama,2,0,8,11,0,45,0,2,0,2,13,0,37,37,8,1,0,0,0,20,0,105,41,0,125,0,1,0,2,29,0,1,164,2,0,157,300,0,520,2100,0,2200,0,80000,,1000,700,0,20,84300,2500,0,0,0,0,2011,1,Tehama_2011,25575,21744,3829,0.149716520039101
96,Tulare,10,1,4,3,2,14,0,3,0,1,18,1,20,27,4,1,4,1,0,29,0,0,1213,31,803,0,2,0,0,1377,0,31,3393,0,0,30,2425,0,100,24460,1000,12000,0,500,0,0,36200,0,500,28075,3600,0,20250,24260,0,2011,0,Tulare_2011,203475,168700,34783,0.170944833517631
97,Tuolumne,2,0,31,2,0,66,0,2,0,1,16,1,76,41,2,2,0,0,0,8,0,29,1,0,154,0,2,0,1,134,6,9,171,20,1,134,900,0,1831,0,0,604567,0,600,0,0,35484,1200,9605,9334,578443,47200,0,0,0,2011,0,Tuolumne_2011,22724,19440,3284,0.144516810420701
98,W. San Joaquin,0,0,1,1,0,9,0,0,0,0,9,1,11,7,2,1,0,0,0,0,0,5,5,0,1,0,0,0,0,278,1,0,251,0,0,39,0,0,0,0,0,1000,0,0,,0,57450,0,1000,250,14200,43000,0,0,0,2011,1,W. San Joaquin_2011,,,,
99,W. Stanislaus,0,0,1,4,0,3,0,2,0,0,5,2,5,11,1,0,0,0,0,0,0,6,35,0,0,0,3,0,0,6,2,0,51,0,0,1,0,0,900,3300,0,0,0,400,,0,5500,0,0,6800,3300,0,0,0,0,2011,1,W. Stanislaus_2011,242308,202367,39967,0.16494296515179
100,W. Trinity,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,1,W. Trinity_2011,5386,4488,897,0.166542888971407
101,Yolo,0,0,6,4,0,3,0,0,0,0,9,1,5,14,4,0,0,0,0,0,0,53,36,0,68,0,0,0,0,49,1,0,205,1,0,1,0,0,0,35000,0,0,0,0,,0,2,0,0,35002,0,0,0,0,0,2011,1,Yolo_2011,101808,89808,12000,0.117868929750118
102,Yuba,3,0,5,7,0,18,0,3,0,1,16,2,14,33,5,2,1,0,0,11,0,31,23,0,325,0,365,0,6,88,5,0,229,1,11,611,100,0,0,175200,0,41261,0,40000,0,0,0,62600,500,77901,175000,25760,40000,0,0,2011,1,Yuba_2011,28958,24033,4900,0.169210580841218
103,Alameda,0,0,0,0,0,3,0,5,0,0,7,0,3,9,3,0,0,0,0,0,0,0,0,0,17,0,83,0,0,15,0,0,114,0,0,1,0,0,0,0,0,1500,0,14000,0,0,1600,0,0,1800,15300,0,0,0,0,2012,1,Alameda_2012,798417,729050,69358,0.086869392811025
104,Amador,1,2,17,6,8,11,0,3,0,0,5,2,34,18,3,0,0,0,0,0,7,9,29,41,1,0,1,0,0,13,1,5,41,1,15,40,0,0,200,6000,0,0,0,0,0,0,1000,0,1000,6200,0,0,0,0,0,2012,1,Amador_2012,14672,12874,1799,0.122614503816794
105,Butte,6,0,15,13,0,19,7,4,0,2,29,19,53,56,4,1,0,0,0,20,0,11,75,0,2,5,106,0,1,41,50,110,107,10,63,21,0,0,10050,700,0,300000,10,5500,0,0,60900,59600,15610,346150,75000,0,0,0,0,2012,1,Butte_2012,100992,88717,12292,0.121712610899873
106,Calaveras,16,1,38,11,31,20,5,6,0,0,30,3,87,66,7,1,0,0,0,20,0,36,174,204,21,3,4,0,0,97,10,142,310,28,28,61,10177,0,3989,101861,29400,5571,277,605,0,0,13485,900,1762,106113,56390,2000,0,0,0,2012,0,Calaveras_2012,20201,17705,2496,0.123558239691104
107,Colusa,0,0,0,1,0,0,0,0,0,0,7,0,1,1,3,0,1,2,0,0,0,0,1,0,0,0,0,0,0,4284,0,3740,545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,1,Colusa_2012,11272,8936,2338,0.207416607523066
108,Contra Costa,2,0,0,2,0,1,0,4,0,0,10,2,10,9,1,1,0,0,0,2,0,0,32,0,0,0,4,0,0,6,101,0,144,1,0,0,1,0,0,15000,0,2000,0,200,0,0,250,0,2100,351,15000,0,0,0,0,2012,1,Contra Costa_2012,535775,487875,47892,0.089388269329476
109,Del Norte,23,3,3,0,0,1,0,1,0,0,4,0,25,5,5,0,0,0,0,121,0,0,0,0,0,0,0,0,0,1,0,0,5,116,0,1,100000,0,200,0,0,105,0,0,0,0,8000,0,8305,0,100000,0,0,0,0,2012,1,Del Norte_2012,10497,9076,1422,0.135467276364676
110,E. San Joaquin,2,0,1,4,0,0,0,0,0,0,2,0,0,7,2,0,0,0,0,11,0,1,71,0,0,0,0,0,0,4,0,0,87,0,0,0,2200,0,200,14700,0,0,0,0,0,0,800,0,0,5000,12900,0,0,0,0,2012,0,E. San Joaquin_2012,311842,267083,44758,0.143527812161287
111,E. Stanislaus,3,1,1,2,0,5,0,0,0,0,9,1,9,11,2,0,0,0,0,1,0,18,6,0,6,0,0,0,0,14,0,0,32,0,0,13,0,0,250,600,0,600,0,0,0,0,2325,100,25,1400,2450,0,0,0,0,2012,0,E. Stanislaus_2012,241975,205950,36025,0.148879016427317
112,E. Trinity,1,2,5,1,0,1,0,5,0,0,5,2,9,13,0,0,0,0,0,5,0,5,0,0,0,0,3,0,0,6,1,3,5,1,6,5,3500,0,0,0,0,0,0,0,0,0,200,1700,1900,3500,0,0,0,0,0,2012,1,E. Trinity_2012,5332,4551,781,0.146474118529632
113,El Dorado,6,1,41,18,17,32,3,13,0,7,20,11,121,42,5,1,0,0,0,8,0,48,24,9,128,0,23,0,1,7,49,5,169,3,17,103,48000,0,4750,7000,0,78301,0,7000,0,0,2001,10100,45101,57051,43000,12000,0,0,0,2012,1,El Dorado_2012,89058,79967,9100,0.102180601405825
114,Fresno,10,1,6,14,3,13,0,18,0,1,19,10,25,58,11,1,0,0,0,34,1,3,50,13,50,0,88,0,138,176,21,4,373,3,0,194,900,0,0,18500,1320,8001,0,10350,0,4000,702020,200,1500,513451,226340,4000,0,0,0,2012,0,Fresno_2012,440033,373458,66575,0.151295471021492
115,Glenn,0,1,0,1,0,0,0,0,0,0,4,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,200,0,0,0,0,0,2012,1,Glenn_2012,13148,11282,1867,0.14199878308488
116,Humboldt,15,13,10,3,1,4,0,9,0,0,26,7,52,34,1,1,0,0,0,16,136,2,2,0,0,0,11,0,0,47,2,2,163,42,0,9,0,500,0,0,0,0,0,16000,0,0,11500,15000,18500,24500,0,0,0,0,0,2012,1,Humboldt_2012,64258,58125,6167,0.095972485916151
117,Inyo,1,3,2,0,1,2,0,0,0,1,8,1,10,9,0,0,0,0,0,1,5,3,0,0,3,0,0,0,1,6,2,2,15,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,0,Inyo_2012,9558,8691,867,0.090709353421218
118,Kings,0,0,0,0,1,1,0,1,0,0,3,0,0,5,1,0,0,0,0,0,0,0,0,3,2,0,44,0,0,3,0,0,50,0,0,2,0,0,0,0,500,0,0,3100,0,0,0,0,0,500,3100,0,0,0,0,2012,0,Kings_2012,58808,50058,8758,0.148925316283499
119,Lake,1,2,9,7,1,6,2,6,0,0,33,7,24,45,2,0,1,1,1,0,0,16,9,10,8,1,317,0,0,7979,15,17,8299,19,0,20,0,0,67000,20,0,0,0,2000020,0,0,1202700,5000,5020,69720,0,0,2000000,1200000,0,2012,1,Lake_2012,29509,25740,3772,0.127825409197194
120,Lassen,0,0,3,2,13,3,1,0,0,0,2,1,12,10,2,1,0,0,0,0,0,25,0,7,258,0,0,0,0,8,0,34,3,255,0,6,0,0,500,0,0,422380,0,0,0,0,2,30,0,132,500,422280,0,0,0,2012,1,Lassen_2012,11472,10041,1428,0.124476987447699
121,Madera,6,3,13,1,0,11,1,4,0,1,25,7,42,26,4,0,0,0,0,15,0,5,7,0,8,0,49,0,0,88,16,45,118,1,5,19,1450,0,0,500,0,0,0,500,0,0,6260,350,1250,2150,5660,0,0,0,0,2012,0,Madera_2012,62542,53492,9025,0.144303028364939
122,Mariposa,2,1,18,5,0,5,1,4,0,1,6,5,23,24,0,0,0,1,0,0,6,16,10,0,4,0,1702,0,0,8,4,0,1741,4,5,0,0,0,0,2,0,0,0,80200,0,0,0,0,2,5200,0,0,0,75000,0,2012,0,Mariposa_2012,8376,7353,1022,0.122015281757402
123,Mendocino,5,7,17,6,1,5,7,12,0,2,31,9,45,47,7,1,1,1,0,16,4522,12,3,8,3,4,247,0,1,497,20,13,4812,83,0,425,0,4618,500,300,0,1001,2,1260000,0,0,0,5500,17301,2,0,1250000,0,4618,0,2012,1,Mendocino_2012,40953,36840,4112,0.10040778453349
124,Merced,0,0,0,0,1,2,0,1,0,0,9,2,2,12,0,0,1,0,0,0,0,0,0,3,1,0,434,0,0,16,2,0,453,0,0,3,0,0,0,0,0,0,0,0,0,0,4000,0,0,4000,0,0,0,0,0,2012,0,Merced_2012,115017,96250,18783,0.163306293852213
125,Modoc,1,0,3,0,2,2,0,0,0,0,1,0,3,6,0,0,0,0,0,0,0,9,0,2,1,0,0,0,0,1,0,6,7,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,50,0,0,0,0,0,2012,1,Modoc_2012,3612,3092,520,0.143964562569214
126,Monterey,5,5,8,8,2,11,2,18,0,1,6,9,33,35,6,0,0,1,0,15,2,11,2649,3,92,2,33,0,0,4,6,51,2739,16,2,9,7600,0,3500,421836,0,4500,500,2402,0,0,0,4017,10668,380052,15700,0,0,37935,0,2012,0,Monterey_2012,217783,192600,25200,0.115711510999481
127,Napa,0,1,7,3,0,2,0,5,0,1,8,6,12,20,0,1,0,0,0,0,1,206,5,0,2,0,6,0,3,10,3,205,19,2,7,3,0,0,6000,3000,0,0,0,13500,0,0,103,65000,1000,81603,0,5000,0,0,0,2012,1,Napa_2012,71808,65750,6075,0.084600601604278
128,Nevada,3,4,24,7,2,6,1,10,0,2,23,8,42,48,0,0,0,0,0,5,4,15,9,2,4,0,11,0,2,14,6,11,19,14,5,23,0,0,20800,2080,0,3000,0,19200,0,0,50,23700,24030,44800,0,0,0,0,0,2012,1,Nevada_2012,48363,43650,4715,0.097491884291711
129,Placer,3,2,20,7,4,12,0,4,2,0,39,18,64,46,0,0,0,1,0,2650,1,17,11,1,8,0,4,0,0,23,9,2661,21,6,0,36,110000,0,6500,0,0,2102,0,0,0,0,2551,104202,104854,10501,0,0,0,110000,0,2012,1,Placer_2012,174917,158550,16375,0.09361582922186
130,Plumas,0,1,3,0,0,0,1,0,0,0,3,0,5,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,100,0,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,2012,1,Plumas_2012,8487,7114,1372,0.161659007894427
131,Riverside,9,3,15,11,8,27,6,8,0,8,69,8,69,82,13,2,4,2,0,54,2,16,919,2750,489,2,440,0,7,1570,7,3645,2162,4,0,445,0,0,150000,650250,250500,320000,0,11000,0,2001,105200,5500,120751,363000,500,100200,660000,250000,0,2012,0,Riverside_2012,987075,872258,114833,0.116336651216979
132,Sacramento,0,0,0,3,0,2,0,0,0,1,6,0,5,4,3,0,0,0,0,0,0,0,50,0,3,0,0,0,14,22,0,0,82,0,0,7,0,0,0,125012,0,135900,0,0,0,0,0,0,0,135912,125000,0,0,0,0,2012,1,Sacramento_2012,681283,609683,71592,0.105084084000335
133,San Benito,1,0,4,2,2,4,0,3,0,0,1,4,9,11,1,0,0,0,0,1,0,5,9,1,36,0,2,0,0,1,0,5,49,0,0,1,1000,0,0,0,0,480,0,0,0,0,0,0,0,1000,480,0,0,0,0,2012,0,San Benito_2012,28675,24933,3742,0.130496948561465
134,San Bernardino,3,9,19,3,12,24,5,10,0,4,28,6,86,30,5,1,0,1,0,1,111,5,1,91,6,2,7,0,3,1128,111,152,1301,1,0,12,0,0,250,0,0,1150,0,25500,0,0,6200,200,26400,700,6200,0,0,0,0,2012,0,San Bernardino_2012,892208,790425,101792,0.114089987984865
135,San Diego,7,3,15,16,12,27,1,9,0,0,65,7,76,64,16,0,2,2,2,3,1,8,23,24851,1055,0,18,0,0,9211,43,3238,162,7,0,31806,0,0,0,2,2,100000,0,10700,0,0,900311,100,201,704,10210,0,200000,800000,0,2012,0,San Diego_2012,1540433,1399875,140567,0.091251615617167
136,San Luis Obispo,0,4,8,9,2,51,2,14,1,1,32,12,90,41,2,2,1,0,0,0,1,77,644,150,172,1,18,1,1,25,31,723,386,3,0,9,0,0,0,6500,0,150,0,22000,0,0,650,14500,11100,20700,12000,0,0,0,0,2012,0,San Luis Obispo_2012,137350,126042,11342,0.082577357116855
137,San Mateo,2,2,0,2,1,2,0,3,0,0,3,0,8,6,1,0,0,0,0,2,1,0,3,1,0,0,13,0,0,0,0,0,17,1,0,2,0,20000,0,0,0,100,0,5002,0,0,0,0,100,20002,5000,0,0,0,0,2012,1,San Mateo_2012,412050,385658,26375,0.064009222181774
138,Santa Clara,1,4,2,1,0,7,0,5,0,0,9,5,16,18,0,0,0,0,0,1,2,8,0,0,1,0,1,0,0,10,3,1,17,1,1,6,0,0,3000,0,0,100,0,0,0,0,202,1000,200,4102,0,0,0,0,0,2012,1,Santa Clara_2012,958283,882967,75283,0.078560300036628
139,Santa Cruz,0,5,9,1,1,10,3,7,0,0,5,2,28,14,0,1,0,0,0,0,3,110,1,0,2,2,2,0,0,1,1,1,3,15,0,103,0,60,45000,1000,0,0,0,110,0,0,0,23500,12110,57560,0,0,0,0,0,2012,1,Santa Cruz_2012,142058,125250,16808,0.118317870165707
140,Shasta,13,7,24,21,15,22,3,14,0,2,42,8,49,112,5,4,0,1,0,12,72,36,235,180,374,2,1116,0,0,97,10,1215,573,23,47,276,0,500,1000,8900,100,0,0,60200,0,0,2500,11500,10500,43500,700,0,0,30000,0,2012,1,Shasta_2012,76008,65225,10775,0.141761393537522
141,Sierra,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,1,Sierra_2012,1469,1258,210,0.142954390742001
142,Siskiyou,3,3,32,4,4,22,1,1,0,2,23,3,63,29,3,3,0,0,0,2,4,458,1,6,4,100,0,0,0,16,1,0,145,232,110,105,0,1000,4815,0,0,0,100,0,0,0,5500,0,3100,7900,315,100,0,0,0,2012,1,Siskiyou_2012,18877,15928,2945,0.15600995920962
143,Solano,2,1,2,2,0,1,0,2,0,2,7,0,6,9,3,1,0,0,0,115,1,1,4,0,17,0,7,0,1,89,0,0,222,0,0,13,400,1000,0,0,0,0,0,200,0,900,12,0,900,1202,10,400,0,0,0,2012,1,Solano_2012,202675,180992,21667,0.106905143702973
144,Sonoma,3,7,17,11,0,25,1,19,0,1,33,11,74,50,4,0,0,0,0,2,2,8,6,0,3,0,40,0,1,47,14,3,73,7,1,39,3000,0,0,51,0,300,0,1900,0,0,101535,585100,735,691151,0,0,0,0,0,2012,1,Sonoma_2012,246292,224458,21808,0.088545303948159
145,Tehama,2,1,9,14,2,16,1,5,0,0,23,3,30,34,8,2,1,0,1,1648,0,7,264,27678,158,99,5,0,0,84,342,2,828,0,0,27808,200,20,20400,859300,15000000,540000,0,15000,0,0,42500,12000,520,72800,1354100,50000,12000,0,15000000,2012,1,Tehama_2012,25248,21782,3468,0.137357414448669
146,Tulare,7,1,2,3,1,3,0,6,0,0,11,4,17,15,6,0,0,0,0,27,0,0,25,0,6,0,6,0,0,122,1,0,187,0,0,0,251,0,0,275,5,100,0,1050,0,0,7225,0,75,1331,7500,0,0,0,0,2012,0,Tulare_2012,201283,168767,32525,0.16158841034762
147,Tuolumne,1,2,15,10,5,13,3,7,0,2,24,3,40,39,4,1,1,0,0,1,1,11,126,10,0,26,11,0,1,985,2,69,1052,3,1,49,0,0,900,802,3100,0,4820,1701,0,0,37370,200,221,15372,5300,23000,5000,0,0,2012,0,Tuolumne_2012,22314,19419,2895,0.129739177198172
148,W. San Joaquin,0,0,0,0,0,1,0,0,0,0,0,3,0,2,1,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,198,0,204,0,0,0,0,0,0,0,0,600,0,0,0,0,0,20000,0,600,20000,0,0,0,0,2012,1,W. San Joaquin_2012,311842,267083,44758,0.143527812161287
149,W. Stanislaus,0,0,0,1,0,0,0,1,0,0,1,7,5,4,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,38,3,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,1,W. Stanislaus_2012,241975,205950,36025,0.148879016427317
150,Yolo,2,0,1,3,0,0,1,1,0,0,6,1,6,4,0,3,1,0,1,251,0,0,529,0,0,0,0,0,0,19265,137,19005,526,0,0,651,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2012,1,Yolo_2012,102608,91692,10925,0.106473179479183
151,Yuba,1,0,6,6,0,10,1,4,1,0,15,3,10,34,3,0,0,0,0,0,0,10,4,0,51,1,13,1,0,13,24,21,68,2,0,26,0,0,0,2100,0,0,0,35000,0,0,0,250100,0,37200,250000,0,0,0,0,2012,1,Yuba_2012,28825,24392,4442,0.154102341717259
152,Alameda,1,0,1,8,0,1,0,7,0,1,15,12,13,20,11,2,0,0,0,0,0,1,65,0,1,0,256,0,240,85,195,1,839,0,0,3,0,0,400,21050,25300,0,0,0,0,10000,11875,73500,2250,3702,117923,18250,0,0,0,2013,1,Alameda_2013,802817,744767,58050,0.072307885856926
153,Amador,5,0,20,5,0,14,1,7,0,0,10,2,44,18,1,1,0,0,0,4,0,9,2,0,2,100,100,0,0,2,2,4,112,2,0,103,500,0,0,50,0,0,0,1500,0,0,0,0,1500,550,0,0,0,0,0,2013,1,Amador_2013,14450,12960,1490,0.103114186851211
154,Butte,13,6,39,9,15,50,8,15,0,2,42,11,131,64,10,3,1,1,0,22,4,107,2283,5,549,2,197,0,0,7102,41,96,963,74,2,2281,100000,2000,36100,10000,55524,2,0,625000,0,0,15150,0,25152,21100,119000,0,625000,53524,0,2013,1,Butte_2013,101750,91267,10483,0.103027027027027
155,Calaveras,4,3,22,11,0,7,3,9,0,1,30,8,40,53,5,0,0,0,0,3,2,20,13,0,22,2,38,0,1,82,28,87,99,10,2,13,402,125,1592,9720,13100,0,0,6600,0,100,14205,2800,3145,20499,25000,0,0,0,0,2013,0,Calaveras_2013,20255,18243,2012,0.099333497901753
156,Colusa,0,0,0,1,1,1,0,0,0,0,4,2,4,5,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,8,0,2,9,0,0,0,0,0,0,0,20,0,0,0,0,0,900,100,100,920,0,0,0,0,0,2013,1,Colusa_2013,11292,9157,2137,0.189249025859015
157,Contra Costa,7,1,1,4,0,3,0,4,0,0,22,1,25,10,5,1,1,1,0,1,0,1,60,0,3101,0,505,0,0,300,3,1,3732,0,0,238,110,0,100,4100,3400,0,0,105000,0,0,200,0,5110,500,3300,0,4000,100000,0,2013,1,Contra Costa_2013,538008,497667,40325,0.07495241706443
158,Del Norte,1,4,1,0,1,1,0,0,0,0,3,1,7,5,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,2,1,0,5,1,8,1,0,0,20,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,2013,1,Del Norte_2013,10329,9108,1222,0.118307677413109
159,E. San Joaquin,0,0,0,4,0,0,0,0,0,0,3,0,0,3,3,0,1,0,0,0,0,0,377,0,0,0,0,0,0,31,0,0,384,0,0,24,0,0,0,0,70000,0,0,0,0,0,5500,0,0,100,15400,0,60000,0,0,2013,0,E. San Joaquin_2013,,,,
160,E. Stanislaus,2,1,0,1,0,0,0,2,0,0,15,2,9,11,3,0,0,0,0,1,1,0,1,0,0,0,0,0,0,79,0,0,62,0,0,20,210,0,0,5000,50,0,0,0,0,0,6620,0,5110,5270,1500,0,0,0,0,2013,0,E. Stanislaus_2013,240975,209783,31192,0.129440813362382
161,E. Trinity,4,2,7,2,13,1,0,6,0,2,1,2,18,22,0,0,0,0,0,1,1,5,2,8,1,0,2,0,1,1,1,0,5,6,3,9,0,0,250,0,2000,0,0,0,0,0,0,0,0,2250,0,0,0,0,0,2013,1,E. Trinity_2013,5191,4572,621,0.119630129069543
162,El Dorado,5,5,66,24,4,63,8,18,0,4,18,21,170,59,5,3,0,0,0,11,9,32,164,1,8,3,48,0,118,3,189,62,371,22,6,125,0,20000,1200,533150,217100,3200,0,739413,0,650000,0,4500,19150,1016913,480500,652000,0,0,0,2013,1,El Dorado_2013,88592,81058,7542,0.085131840346758
163,Fresno,3,0,8,10,5,5,2,12,0,0,15,4,16,41,4,3,0,0,0,8,0,3,62,105,17,1,20,0,0,279,14,4,364,1,0,140,7000,0,0,17000,11300,500,0,10000,0,0,12200,0,10200,15800,20000,12000,0,0,0,2013,0,Fresno_2013,437917,379867,58058,0.132577634574588
164,Glenn,0,0,1,2,5,1,0,1,0,0,4,0,8,5,0,1,0,0,0,0,0,217,2,1,0,0,1,0,0,3,0,0,223,0,0,1,0,0,2500,0,0,0,0,0,0,0,0,0,0,0,0,2500,0,0,0,2013,1,Glenn_2013,12991,11419,1572,0.121006850896775
165,Humboldt,33,10,17,6,1,13,3,3,0,2,57,4,70,73,5,1,0,0,0,23,7,15,18,0,3,3,2,0,0,138,126,12,241,32,1,49,3,0,4000,0,7500,0,5000,7000,0,0,2,25000,10001,11004,2500,25000,0,0,0,2013,1,Humboldt_2013,63058,57942,5117,0.081147514986203
166,Inyo,1,0,1,0,7,2,0,1,0,1,8,1,15,5,1,0,1,0,0,0,0,0,0,9,1,0,0,0,0,21,407,11,20,0,0,407,0,0,0,10000,0,0,0,0,0,0,350,50000,10350,0,0,0,50000,0,0,2013,0,Inyo_2013,9390,8654,737,0.078487752928648
167,Kings,0,0,0,0,0,0,0,1,0,0,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,0,Kings_2013,58200,50392,7817,0.134312714776632
