county,.25 acres or <,.26-9.99 acres,10-99 acres,100-299 acres,300-999 acres,1000-4999 acres,5000 acres >,year,region
San Mateo,$215 ,"$1,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,2013,north
Santa Cruz,"$6,508 ","$743,010 ",$0 ,$0 ,$0 ,$0 ,$0 ,2013,north
Alameda,"$2,250 ","$3,702 ","$117,923 ","$18,250 ",$0 ,$0 ,$0 ,2013,north
Contra Costa,"$5,110 ",$500 ,"$3,300 ",$0 ,"$4,000 ","$100,000 ",$0 ,2013,north
Santa Clara,$100 ,"$10,360 ","$1,100 ","$2,000 ",$0 ,$0 ,$0 ,2013,north
W. San Joaquin,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013,north
W. Stanislaus,$0 ,"$92,000 ",$0 ,"$27,100 ",$0 ,$0 ,$0 ,2013,north
E. Trinity,$0 ,"$2,250 ",$0 ,$0 ,$0 ,$0 ,$0 ,2013,north
Shasta,"$47,600 ","$55,102 ","$95,000 ",$0 ,$0 ,$0 ,"$5,304,191 ",2013,north
Shasta,$0 ,$1 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013,north
Siskiyou,$0 ,$400 ,"$2,000 ",$0 ,$0 ,$0 ,$0 ,2013,north
Colusa,$100 ,$920 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013,north
Lake,"$168,041 ","$110,730 ","$5,000 ","$120,050 ",$500 ,$0 ,$0 ,2013,north
Napa,"$5,120 ","$89,642 ","$6,000 ",$0 ,"$2,000 ",$0 ,$0 ,2013,north
Solano,$2 ,"$172,700 ","$155,002 ",$0 ,$0 ,$0 ,$0 ,2013,north
Sonoma,"$81,520 ","$284,376 ",$500 ,$500 ,$0 ,"$9,000,000 ",$0 ,2013,north
Yolo,$0 ,"$15,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,2013,north
Glenn,$0 ,$0 ,$0 ,"$2,500 ",$0 ,$0 ,$0 ,2013,north
Tehama,"$3,500 ","$276,900 ","$5,000 ","$11,000 ",$0 ,$0 ,"$50,000 ",2013,north
Fresno,"$10,200 ","$15,800 ","$20,000 ","$12,000 ",$0 ,$0 ,$0 ,2013,south
Kings,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013,south
Madera,$300 ,"$8,050 ","$4,300 ",$0 ,$0 ,$0 ,$0 ,2013,south
Mariposa,$0 ,$400 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013,south
Merced,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013,south
Riverside,"$3,638,498 ","$11,700 ","$104,700 ",$0 ,$0 ,$0 ,"$4,223,448 ",2013,south
Monterey,$3 ,"$2,492 ","$1,275 ",$105 ,$0 ,$0 ,$0 ,2013,south
San Benito,$0 ,"$14,600 ",$0 ,$0 ,"$8,000 ",$0 ,$0 ,2013,south
Inyo,"$10,350 ",$0 ,$0 ,$0 ,"$50,000 ",$0 ,$0 ,2013,south
San Bernardino,"$7,301 ",$25 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013,south
San Diego,"$103,953 ","$171,800 ","$2,202 ",$0 ,$0 ,$0 ,$2 ,2013,south
San Luis Obispo,"$17,200 ","$20,250 ","$3,600 ",$0 ,$0 ,$0 ,$0 ,2013,south
Tulare,$500 ,$120 ,$300 ,"$30,000 ",$0 ,$0 ,$0 ,2013,south
Calaveras,"$3,145 ","$20,499 ","$25,000 ",$0 ,$0 ,$0 ,$0 ,2013,south
E. San Joaquin,$0 ,$100 ,"$15,400 ",$0 ,"$60,000 ",$0 ,$0 ,2013,south
E. Stanislaus,"$5,110 ","$5,270 ","$1,500 ",$0 ,$0 ,$0 ,$0 ,2013,south
Tuolumne,"$6,300 ","$99,372 ",$500 ,"$1,000 ",$0 ,$0 ,$0 ,2013,south
