county,Arson,Campfire,Debris Burning,Equip. Use,Ltng.,Misc.,Power-line,P-W-F,Rail-road,Smoking,Undet.,Vehicle,year ,region 
Yolo,$0 ,$0 ,$0 ,"$35,000 ",$0 ,$0 ,$0 ,$0 ,,$0 ,$2 ,$0 ,2011,north
Glenn,$0 ,$0 ,$0 ,,$0 ,$0 ,$0 ,$0 ,,$0 ,$0 ,$0 ,2011,north
Tehama,$300 ,$0 ,$520 ,"$2,100 ",$0 ,"$2,200 ","$80,000 ",$0 ,,"$1,000 ",$700 ,$0 ,2011,north
Fresno,"$2,000 ",$500 ,$200 ,"$15,650 ",$0 ,"$62,335 ","$5,200 ",$0 ,$0 ,$0 ,"$3,200 ","$20,000 ",2011,south 
Kings,$0 ,$0 ,$0 ,"$1,000 ",$0 ,$200 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,south 
Madera,$200 ,$0 ,$100 ,"$2,025 ",$0 ,$500 ,"$15,000 ",$0 ,$0 ,$0 ,"$8,320 ",$0 ,2011,south 
Mariposa,$0 ,$0 ,"$10,001 ",$100 ,$0 ,$2 ,"$3,400 ",$0 ,$0 ,$0 ,$500 ,$0 ,2011,south 
Merced,$0 ,$0 ,$0 ,"$60,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$9,780 ","$11,300 ",2011,south 
Riverside,$0 ,$0 ,$0 ,"$157,600 ",$0 ,"$51,000 ","$17,000 ",$0 ,$0 ,$0 ,"$51,000 ","$59,000 ",2011,south 
Riverside,$0 ,$0 ,$0 ,"$157,600 ",$0 ,"$51,000 ","$17,000 ",$0 ,$0 ,$0 ,"$51,000 ","$59,000 ",2011,south 
Monterey,$250 ,$0 ,$400 ,$220 ,$0 ,"$132,586 ","$30,420 ",$0 ,$0 ,$0 ,"$1,100 ",$100 ,2011,south 
San Benito,$0 ,$0 ,$0 ,"$3,195 ",$0 ,$20 ,$0 ,$0 ,$0 ,$0 ,"$5,000 ",$0 ,2011,south 
Inyo,$0 ,$0 ,$0 ,"$20,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$7 ,$0 ,2011,south 
San Bernardino,$0 ,$0 ,$0 ,"$39,002 ",$0 ,$108 ,$0 ,$0 ,$0 ,$0 ,"$380,700 ",$0 ,2011,south 
San Diego,"$5,000 ",$0 ,$0 ,"$99,800 ",$0 ,"$232,162 ",$500 ,$0 ,$0 ,$0 ,"$3,500 ","$1,000 ",2011,south 
San Luis Obispo,$0 ,$0 ,$0 ,"$89,300 ",$0 ,"$28,900 ","$3,000 ",$0 ,$0 ,$0 ,"$2,000 ",$0 ,2011,south 
Tulare,"$2,425 ",$0 ,$100 ,"$24,460 ","$1,000 ","$12,000 ",$500 ,$0 ,$0 ,$0 ,"$36,200 ",$0 ,2011,south 
Calaveras,$100 ,$0 ,"$59,076 ","$44,300 ","$2,000 ","$170,975 ","$20,000 ",$0 ,$0 ,"$4,800 ","$21,075 ",$0 ,2011,south 
E. San Joaquin,$100 ,$0 ,$0 ,"$7,000 ",$0 ,"$6,110 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,south 
E. Stanislaus,"$103,200 ",$35 ,$0 ,"$8,800 ","$224,400 ","$17,250 ",$600 ,$0 ,$0 ,$0 ,"$13,310 ","$9,200 ",2011,south 
Tuolumne,$900 ,$0 ,"$1,831 ",$0 ,$0 ,"$604,567 ",$600 ,$0 ,$0 ,$0 ,"$35,484 ","$1,200 ",2011,south 
