"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","SNOW","TAVG","TMAX"
"US1CASC0045","MORGAN HILL 1.4 SW, CA US","37.1168","-121.6591","132.0","2015",,"13.17",,,
"US1CASC0015","SARATOGA 0.5 N, CA US","37.2748","-122.0227","113.7","2010",,"31.36",,,
"US1CASC0015","SARATOGA 0.5 N, CA US","37.2748","-122.0227","113.7","2011",,"19.24",,,
"US1CASC0015","SARATOGA 0.5 N, CA US","37.2748","-122.0227","113.7","2012",,"24.97",,,
"US1CASC0015","SARATOGA 0.5 N, CA US","37.2748","-122.0227","113.7","2013",,"4.08",,,
"US1CASC0015","SARATOGA 0.5 N, CA US","37.2748","-122.0227","113.7","2014",,"21.12",,,
"US1CASC0015","SARATOGA 0.5 N, CA US","37.2748","-122.0227","113.7","2015",,"11.80",,,
"US1CASC0015","SARATOGA 0.5 N, CA US","37.2748","-122.0227","113.7","2016",,"22.72",,,
"US1CASC0003","SUNNYVALE 1.9 SE, CA US","37.3647","-122.0042","25.9","2010",,"19.89",,,
"US1CASC0003","SUNNYVALE 1.9 SE, CA US","37.3647","-122.0042","25.9","2011",,"11.96",,,
"US1CASC0003","SUNNYVALE 1.9 SE, CA US","37.3647","-122.0042","25.9","2012",,"13.89",,,
"US1CASC0003","SUNNYVALE 1.9 SE, CA US","37.3647","-122.0042","25.9","2013",,"3.51",,,
"US1CASC0003","SUNNYVALE 1.9 SE, CA US","37.3647","-122.0042","25.9","2014",,"16.69",,,
"US1CASC0003","SUNNYVALE 1.9 SE, CA US","37.3647","-122.0042","25.9","2015",,"9.21",,,
"US1CASC0003","SUNNYVALE 1.9 SE, CA US","37.3647","-122.0042","25.9","2016",,"15.11",,,
"USC00043417","GILROY, CA US","37.003","-121.5608","59.1","2010",,"22.07","0.0",,
"USC00043417","GILROY, CA US","37.003","-121.5608","59.1","2012",,"23.06",,"60.9","74.8"
"USC00043417","GILROY, CA US","37.003","-121.5608","59.1","2013",,"2.56",,,
"USC00045123","LOS GATOS, CA US","37.2319","-121.9592","111.3","2010",,"30.08","0.0","58.6","70.2"
"USC00045123","LOS GATOS, CA US","37.2319","-121.9592","111.3","2014",,"18.57",,,
"USR0000CLGA","LOS GATOS CALIFORNIA, CA US","37.2028","-121.9428","609.6","2011",,,,"58.4","67.7"
"USR0000CLGA","LOS GATOS CALIFORNIA, CA US","37.2028","-121.9428","609.6","2012",,,,"59.6","69.4"
"USR0000CLGA","LOS GATOS CALIFORNIA, CA US","37.2028","-121.9428","609.6","2013",,,,"60.5","70.8"
"USR0000CLGA","LOS GATOS CALIFORNIA, CA US","37.2028","-121.9428","609.6","2014",,,,"62.5","72.4"
"USR0000CLGA","LOS GATOS CALIFORNIA, CA US","37.2028","-121.9428","609.6","2015",,,,"61.7","71.8"
"USR0000CLGA","LOS GATOS CALIFORNIA, CA US","37.2028","-121.9428","609.6","2016",,,,"60.7","70.0"
