,county,Arson_x,Campfire_x,Debris Burning_x,Equip. Use_x,Ltng._x,Misc._x,P-W-F_x,Powerline_x,Railroad_x,Smoking_x,Undet._x,Vehicle_x,year_x,region_x,.25 acres or <_x,.26-9.99 acres_x,10-99 acres_x,100-299 acres_x,300-999 acres_x,1000-4999 acres_x,5000 acres >_x,year_y,region_y,Arson_y,Campfire_y,Debris Burning_y,Equip. Use_y,Ltng._y,Misc._y,P-W-F_y,Powerline_y,Railroad_y,Smoking_y,Undet._y,Vehicle_y,Year,county.1,Total,Brush,Grass,Timber,Woodland,Other,year_x.1,region_x.1,Arson,Campfire,Debris Burning,Equip. Use,Ltng.,Misc.,P-W-F,Power- line,Rail-road,Smoking,Undet.,Vehicle,year ,region ,.25 acres or <_y,.26-9.99 acres_y,10-99 acres_y,100-299 acres_y,300-999 acres_y,1000-4999 acres_y,5000 acres >_y,year_y.1,region_y.1,county_year
26,Napa,3,1,6,6,0,6,0,2,1,20,3,3,2010,north,14,29,5,0,0,0,0,2010,north,53,0,6,48,0,5,0,1,0,1,55,2,2010,north,171,6,129,2,0,34,2010,north,$0 ,$0 ,$0 ,"$200,025 ",$0 ,$0 ,$0 ,$200 ,$0 ,$0 ,"$1,500 ",$0 ,2010,north ,$0 ,"$1,725 ","$200,000 ",$0 ,$0 ,$0 ,$0 ,2010,north,Napa_2010
27,Nevada,3,2,19,5,0,18,0,2,0,1,22,0,2010,north,37,35,0,0,0,0,0,2010,north,1,0,17,8,0,12,0,3,0,0,14,0,2010,north,55,8,24,3,7,13,2010,north,$0 ,$0 ,$0 ,"$9,500 ",$0 ,$0 ,$0 ,"$5,000 ",$0 ,$0 ,"$1,,500",$0 ,2010,north ,$0 ,"$16,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,2010,north,Nevada_2010
28,Placer,8,0,7,17,0,30,0,3,0,1,44,0,2010,north,48,57,5,0,0,0,0,2010,north,5,0,15,28,0,130,0,0,0,0,111,0,2010,north,289,3,209,2,6,69,2010,north,$200 ,$0 ,"$10,000 ","$2,050 ",$0 ,"$13,001 ",$0 ,$0 ,$0 ,$0 ,"$12,309 ",$0 ,2010,north ,"$1,652 ","$22,908 ","$13,000 ",$0 ,$0 ,$0 ,$0 ,2010,north,Placer_2010
29,Plumas,0,0,0,0,0,0,0,0,0,0,1,0,2010,north,0,0,0,0,0,0,0,2010,north,0,0,0,0,0,0,0,0,0,0,0,0,2010,north,0,0,0,0,0,0,2010,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north,Plumas_2010
30,Plumas,0,0,0,0,0,0,0,0,0,0,1,0,2010,north,0,0,0,0,0,0,0,2010,north,0,0,0,0,0,0,0,0,0,0,0,0,2010,north,0,0,0,0,0,0,2010,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north,Plumas_2010
31,Plumas,0,0,0,0,0,0,0,0,0,0,1,0,2010,north,0,0,0,0,0,0,0,2010,north,0,0,0,0,0,0,0,0,0,0,0,0,2010,north,0,0,0,0,0,0,2010,north,$0 ,$0 ,$0 ,$0 ,$0 ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north,Plumas_2010
32,Plumas,0,0,0,0,0,0,0,0,0,0,1,0,2010,north,0,0,0,0,0,0,0,2010,north,0,0,0,0,0,0,0,0,0,0,0,0,2010,north,0,0,0,0,0,0,2010,north,$0 ,$0 ,$0 ,$0 ,$0 ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north,Plumas_2010
33,Plumas,0,0,0,0,0,0,0,0,0,0,1,0,2010,north,0,0,0,0,0,0,0,2010,north,0,0,0,0,0,0,0,0,0,0,0,0,2010,north,1,0,0,0,0,1,2010,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north,Plumas_2010
34,Plumas,0,0,0,0,0,0,0,0,0,0,1,0,2010,north,0,0,0,0,0,0,0,2010,north,0,0,0,0,0,0,0,0,0,0,0,0,2010,north,1,0,0,0,0,1,2010,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north,Plumas_2010
35,Plumas,0,0,0,0,0,0,0,0,0,0,1,0,2010,north,0,0,0,0,0,0,0,2010,north,0,0,0,0,0,0,0,0,0,0,0,0,2010,north,1,0,0,0,0,1,2010,north,$0 ,$0 ,$0 ,$0 ,$0 ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north,Plumas_2010
36,Plumas,0,0,0,0,0,0,0,0,0,0,1,0,2010,north,0,0,0,0,0,0,0,2010,north,0,0,0,0,0,0,0,0,0,0,0,0,2010,north,1,0,0,0,0,1,2010,north,$0 ,$0 ,$0 ,$0 ,$0 ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north,Plumas_2010
37,Plumas,0,0,0,0,0,0,0,0,0,0,1,0,2010,north,0,0,0,0,0,0,0,2010,north,0,0,0,1,0,0,0,0,0,0,0,0,2010,north,0,0,0,0,0,0,2010,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north,Plumas_2010
38,Plumas,0,0,0,0,0,0,0,0,0,0,1,0,2010,north,0,0,0,0,0,0,0,2010,north,0,0,0,1,0,0,0,0,0,0,0,0,2010,north,0,0,0,0,0,0,2010,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north,Plumas_2010
39,Plumas,0,0,0,0,0,0,0,0,0,0,1,0,2010,north,0,0,0,0,0,0,0,2010,north,0,0,0,1,0,0,0,0,0,0,0,0,2010,north,0,0,0,0,0,0,2010,north,$0 ,$0 ,$0 ,$0 ,$0 ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north,Plumas_2010
40,Plumas,0,0,0,0,0,0,0,0,0,0,1,0,2010,north,0,0,0,0,0,0,0,2010,north,0,0,0,1,0,0,0,0,0,0,0,0,2010,north,0,0,0,0,0,0,2010,north,$0 ,$0 ,$0 ,$0 ,$0 ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north,Plumas_2010
41,Plumas,0,0,0,0,0,0,0,0,0,0,1,0,2010,north,0,0,0,0,0,0,0,2010,north,0,0,0,1,0,0,0,0,0,0,0,0,2010,north,1,0,0,0,0,1,2010,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north,Plumas_2010
42,Plumas,0,0,0,0,0,0,0,0,0,0,1,0,2010,north,0,0,0,0,0,0,0,2010,north,0,0,0,1,0,0,0,0,0,0,0,0,2010,north,1,0,0,0,0,1,2010,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north,Plumas_2010
43,Plumas,0,0,0,0,0,0,0,0,0,0,1,0,2010,north,0,0,0,0,0,0,0,2010,north,0,0,0,1,0,0,0,0,0,0,0,0,2010,north,1,0,0,0,0,1,2010,north,$0 ,$0 ,$0 ,$0 ,$0 ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north,Plumas_2010
44,Plumas,0,0,0,0,0,0,0,0,0,0,1,0,2010,north,0,0,0,0,0,0,0,2010,north,0,0,0,1,0,0,0,0,0,0,0,0,2010,north,1,0,0,0,0,1,2010,north,$0 ,$0 ,$0 ,$0 ,$0 ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north,Plumas_2010
45,Plumas,0,0,0,0,0,0,0,0,0,0,1,0,2010,north,6,1,0,0,0,0,0,2010,north,0,0,0,0,0,0,0,0,0,0,0,0,2010,north,0,0,0,0,0,0,2010,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north,Plumas_2010
46,Plumas,0,0,0,0,0,0,0,0,0,0,1,0,2010,north,6,1,0,0,0,0,0,2010,north,0,0,0,0,0,0,0,0,0,0,0,0,2010,north,0,0,0,0,0,0,2010,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north,Plumas_2010
47,Plumas,0,0,0,0,0,0,0,0,0,0,1,0,2010,north,6,1,0,0,0,0,0,2010,north,0,0,0,0,0,0,0,0,0,0,0,0,2010,north,0,0,0,0,0,0,2010,north,$0 ,$0 ,$0 ,$0 ,$0 ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north,Plumas_2010
48,Plumas,0,0,0,0,0,0,0,0,0,0,1,0,2010,north,6,1,0,0,0,0,0,2010,north,0,0,0,0,0,0,0,0,0,0,0,0,2010,north,0,0,0,0,0,0,2010,north,$0 ,$0 ,$0 ,$0 ,$0 ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north,Plumas_2010
49,Plumas,0,0,0,0,0,0,0,0,0,0,1,0,2010,north,6,1,0,0,0,0,0,2010,north,0,0,0,0,0,0,0,0,0,0,0,0,2010,north,1,0,0,0,0,1,2010,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north,Plumas_2010
50,Plumas,0,0,0,0,0,0,0,0,0,0,1,0,2010,north,6,1,0,0,0,0,0,2010,north,0,0,0,0,0,0,0,0,0,0,0,0,2010,north,1,0,0,0,0,1,2010,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north,Plumas_2010
51,Plumas,0,0,0,0,0,0,0,0,0,0,1,0,2010,north,6,1,0,0,0,0,0,2010,north,0,0,0,0,0,0,0,0,0,0,0,0,2010,north,1,0,0,0,0,1,2010,north,$0 ,$0 ,$0 ,$0 ,$0 ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north,Plumas_2010
52,Plumas,0,0,0,0,0,0,0,0,0,0,1,0,2010,north,6,1,0,0,0,0,0,2010,north,0,0,0,0,0,0,0,0,0,0,0,0,2010,north,1,0,0,0,0,1,2010,north,$0 ,$0 ,$0 ,$0 ,$0 ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north,Plumas_2010
53,Plumas,0,0,0,0,0,0,0,0,0,0,1,0,2010,north,6,1,0,0,0,0,0,2010,north,0,0,0,1,0,0,0,0,0,0,0,0,2010,north,0,0,0,0,0,0,2010,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north,Plumas_2010
54,Plumas,0,0,0,0,0,0,0,0,0,0,1,0,2010,north,6,1,0,0,0,0,0,2010,north,0,0,0,1,0,0,0,0,0,0,0,0,2010,north,0,0,0,0,0,0,2010,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north,Plumas_2010
55,Plumas,0,0,0,0,0,0,0,0,0,0,1,0,2010,north,6,1,0,0,0,0,0,2010,north,0,0,0,1,0,0,0,0,0,0,0,0,2010,north,0,0,0,0,0,0,2010,north,$0 ,$0 ,$0 ,$0 ,$0 ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north,Plumas_2010
56,Plumas,0,0,0,0,0,0,0,0,0,0,1,0,2010,north,6,1,0,0,0,0,0,2010,north,0,0,0,1,0,0,0,0,0,0,0,0,2010,north,0,0,0,0,0,0,2010,north,$0 ,$0 ,$0 ,$0 ,$0 ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north,Plumas_2010
57,Plumas,0,0,0,0,0,0,0,0,0,0,1,0,2010,north,6,1,0,0,0,0,0,2010,north,0,0,0,1,0,0,0,0,0,0,0,0,2010,north,1,0,0,0,0,1,2010,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north,Plumas_2010
58,Plumas,0,0,0,0,0,0,0,0,0,0,1,0,2010,north,6,1,0,0,0,0,0,2010,north,0,0,0,1,0,0,0,0,0,0,0,0,2010,north,1,0,0,0,0,1,2010,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north,Plumas_2010
