,county,arson_x,campfire_x,debris burning_x,elec. power_x,equip. use_x,ltng._x,misc._x,p-w-f_x,railroad_x,smoking_x,undet._x,vehicle_x,year_x,region_x,.25 acres or <_x,.26-9.99 acres_x,10-99 acres_x,100-299 acres_x,300-999 acres_x,1000-4999 acres_x,5000 acres >_x,year_y,region_y,arson_y,campfire_y,debris burning_y,elec. power_y,equip. use_y,ltng._y,misc._y,p-w-f_y,railroad_y,smoking_y,undet._y,vehicle_y,year ,region ,.25 acres or <_y,.26-9.99 acres_y,10-99 acres_y,100-299 acres_y,300-999 acres_y,1000-4999 acres_y,5000 acres >_y,year_x,region_x,total_x,arson,campfire,debris burning,elec. power,equip. use,ltng.,misc.,p-w-f,railroad,smoking,undet.,vehicle,year_y,year.1,region_y,total_y,brush,grass,timber,woodland,other,year,region,county_year
21,Modoc,0,0,0,0,1,1,2,0,1,0,2,1,2016,north,4,3,0,0,1,0,0,2016,north,$0 ,$0 ,$0 ,$0 ,$0 ,$1 ,$1 ,$0 ,$2 ,$0 ,"$150,000 ",$0 ,2016,unspecified,$2 ,"$150,000 ",$0 ,$0 ,$2 ,$0 ,$0 ,2016,north,388,0,0,0,0,0.0,0,5,0,380,0,1,2,2016,2016,Northern,388.0,4.0,1.0,1.0,0.0,382.0,2016.0,north,Modoc_2016
22,Mono,0,0,0,0,0,0,0,0,0,0,0,0,2016,0,0,0,0,0,0,0,0,2016,0,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2016,unspecified,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2016,north,0,0,0,0,0,0.0,0,0,0,0,0,0,0,2016,2016,Northern,0.0,0.0,0.0,0.0,0.0,0.0,2016.0,north,Mono_2016
23,Monterey,5,2,3,12,3,0,6,1,0,1,14,11,2016,south,26,23,5,2,0,1,1,2016,south,"$1,000 ","$10,345,582 ","$776,200 ",$101 ,$800 ,$0 ,"$3,200 ",$0 ,$0 ,$0 ,"$84,400 ","$11,000 ",2016,unspecified,"$6,401 ","$11,600 ",$500 ,"$83,000 ",$0 ,"$775,200 ","$10,345,582 ",2016,south,"136,624",6,"132,127","3,877",9,7.0,0,55,0,0,0,236,307,2016,2016,Southern,136624.0,227.0,4259.0,132127.0,1.0,10.0,2016.0,south,Monterey_2016
24,Napa,4,1,2,8,2,0,6,1,0,0,17,5,2016,north,26,17,3,0,0,0,0,2016,north,$0 ,$0 ,$0 ,$120 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$100,000 ","$200,000 ",2016,unspecified,$120 ,"$200,000 ","$100,000 ",$0 ,$0 ,$0 ,$0 ,2016,north,139,2,0,0,3,6.0,0,1,0,0,0,120,7,2016,2016,Northern,139.0,54.0,81.0,1.0,0.0,3.0,2016.0,north,Napa_2016
25,Nevada,7,10,26,10,11,1,16,2,0,0,35,7,2016,north,104,21,0,0,0,0,0,2016,north,$16 ,$0 ,$300 ,"$2,002 ",$70 ,$0 ,"$1,049,627 ",$100 ,$0 ,$0 ,"$28,306 ",$500 ,2016,unspecified,"$603,762 ","$477,159 ",$0 ,$0 ,$0 ,$0 ,$0 ,2016,north,44,12,1,6,1,6.0,0,4,0,0,0,14,0,2016,2016,Northern,44.0,5.0,22.0,3.0,4.0,10.0,2016.0,north,Nevada_2016
26,Placer,5,10,31,9,16,2,13,2,0,4,33,8,2016,north,96,35,1,0,0,0,1,2016,north,$0 ,$0 ,"$16,200 ","$2,250 ","$207,000 ",$0 ,$200 ,$350 ,$0 ,$100 ,"$16,100 ",$0 ,2016,unspecified,"$27,350 ","$214,850 ",$0 ,$0 ,$0 ,$0 ,$0 ,2016,north,"5,722",1,2,6,8,21.0,0,8,2,0,2,"5,669",3,2016,2016,Northern,5722.0,3.0,59.0,5649.0,2.0,9.0,2016.0,north,Placer_2016
27,Plumas,0,0,1,0,1,1,0,0,0,0,1,0,2016,north,4,0,0,0,0,0,0,2016,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2016,unspecified,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2016,north,0,0,0,0,0,0.0,0,0,0,0,0,0,0,2016,2016,Northern,0.0,0.0,0.0,0.0,0.0,0.0,2016.0,north,Plumas_2016
28,Riverside,13,7,6,5,5,2,22,5,0,1,63,4,2016,south,84,42,3,3,0,1,0,2016,south,$0 ,$0 ,$0 ,$0 ,$600 ,$0 ,"$1,020 ",$0 ,$0 ,$0 ,"$2,000 ",$0 ,2016,unspecified,"$2,000 ",$620 ,$0 ,"$1,000 ",$0 ,$0 ,$0 ,2016,south,"2,088",216,7,1,1,2.0,1,11,1,0,10,"1,835",3,2016,2016,Southern,2088.0,166.0,1724.0,3.0,0.0,195.0,2016.0,south,Riverside_2016
29,Sacramento,2,0,0,3,4,0,1,1,0,0,7,3,2016,north,11,6,3,0,1,0,0,2016,north,$0 ,$0 ,$0 ,$0 ,"$1,200 ",$0 ,$0 ,$0 ,$0 ,$0 ,$1 ,"$20,000 ",2016,unspecified,$0 ,"$1,201 ",$0 ,$0 ,"$20,000 ",$0 ,$0 ,2016,north,542,0,0,0,87,79.0,0,0,2,0,0,2,372,2016,2016,Northern,542.0,1.0,509.0,0.0,0.0,32.0,2016.0,north,Sacramento_2016
30,San Benito,1,0,1,3,5,0,6,0,0,0,2,5,2016,south,10,9,4,0,0,0,0,2016,south,$0 ,$0 ,"$1,000 ","$8,000 ",$100 ,$0 ,"$20,500 ",$0 ,$0 ,$0 ,$0 ,$2 ,2016,unspecified,$0 ,"$29,102 ",$500 ,$0 ,$0 ,$0 ,$0 ,2016,south,272,0,0,1,1,89.0,0,174,0,0,0,0,7,2016,2016,Southern,272.0,98.0,91.0,0.0,0.0,83.0,2016.0,south,San Benito_2016
31,San Bernardino,4,15,10,6,2,3,21,0,1,0,30,5,2016,south,81,16,0,0,0,0,0,2016,south,$0 ,$0 ,$200 ,"$20,000 ",$0 ,$0 ,"$604,045 ",$0 ,$0 ,$0 ,"$5,000 ",$0 ,2016,unspecified,"$624,045 ","$5,200 ",$0 ,$0 ,$0 ,$0 ,$0 ,2016,north,19,0,0,3,1,2.0,3,2,0,0,0,8,0,2016,2016,Southern,19.0,4.0,7.0,3.0,1.0,4.0,2016.0,south,San Bernardino_2016
32,San Diego,10,7,14,16,8,5,17,2,0,3,36,13,2016,south,87,37,5,1,0,0,1,2016,south,$0 ,$0 ,$0 ,$0 ,"$15,210 ",$0 ,"$23,700 ",$0 ,$0 ,$0 ,"$3,833,850 ","$414,000 ",2016,unspecified,"$178,210 ","$285,700 ","$4,500 ",$0 ,$0 ,$0 ,"$3,818,350 ",2016,south,"7,963",7,2,4,12,22.0,5,33,0,0,1,"7,794",83,2016,2016,Southern,7963.0,7873.0,41.0,9.0,0.0,40.0,2016.0,south,San Diego_2016
33,San Francisco,0,0,0,0,0,0,0,0,0,0,0,0,2016,0,0,0,0,0,0,0,0,2016,0,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2016,unspecified,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2016,north,0,0,0,0,0,0.0,0,0,0,0,0,0,0,2016,2016,Northern,0.0,0.0,0.0,0.0,0.0,0.0,2016.0,north,San Francisco_2016
34,San Joaquin,0,0,0,1,1,0,0,0,1,0,7,3,2016,north/south,4,6,1,2,0,0,0,2016,north/south,$0 ,$0 ,$0 ,$0 ,$900 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$1,036 ",$0 ,2016,unspecified,$0 ,"$1,800 ",$0 ,$136 ,$0 ,$0 ,$0 ,2016,south,378,0,0,0,0,5.0,0,0,0,1,0,223,149,2016,2016,Northern,378.0,0.0,378.0,0.0,0.0,0.0,2016.0,north,San Joaquin_2016
35,San Luis Obispo,8,7,13,17,20,0,22,0,0,3,37,19,2016,south,71,65,8,1,0,0,1,2016,south,$700 ,$0 ,$0 ,"$23,460 ","$21,300 ",$0 ,$0 ,$0 ,$0 ,$200 ,"$7,300 ","$12,162,751 ",2016,unspecified,"$3,100 ","$54,560 ","$3,000 ","$2,500 ",$0 ,$0 ,"$12,152,551 ",2016,south,"46,805",10,2,13,67,92.0,0,20,0,0,4,255,"46,342",2016,2016,Southern,46805.0,103.0,431.0,1.0,46236.0,34.0,2016.0,south,San Luis Obispo_2016
36,San Mateo,0,2,1,3,1,0,7,0,0,2,5,2,2016,north,17,5,1,0,0,0,0,2016,north,$0 ,"$15,000 ",$0 ,$0 ,$0 ,$0 ,$200 ,$0 ,$0 ,$0 ,$0 ,"$5,000 ",2016,unspecified,"$15,200 ","$5,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,2016,north,20,0,0,3,2,0.0,0,1,0,0,0,13,1,2016,2016,Northern,20.0,0.0,17.0,3.0,0.0,0.0,2016.0,north,San Mateo_2016
37,Santa Clara,0,1,2,1,4,0,5,0,0,2,17,5,2016,north,19,13,2,2,0,1,0,2016,north,$0 ,$0 ,"$3,500 ","$50,000 ",$500 ,$0 ,$200 ,$0 ,$0 ,$0 ,"$220,002 ","$1,020 ",2016,unspecified,"$3,700 ","$1,022 ","$50,000 ",$500 ,$0 ,"$220,000 ",$0 ,2016,north,"4,756",0,0,3,25,129.0,0,103,0,0,0,"4,488",8,2016,2016,Northern,4756.0,4504.0,237.0,1.0,0.0,14.0,2016.0,north,Santa Clara_2016
38,Santa Cruz,2,3,1,8,2,0,3,0,0,0,11,2,2016,north,29,3,0,0,0,0,0,2016,north,$0 ,$2 ,$100 ,"$1,000 ",$300 ,$0 ,$0 ,$0 ,$0 ,$0 ,$201 ,"$7,000 ",2016,unspecified,"$6,603 ","$2,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,2016,north,15,0,0,0,1,1.0,0,2,0,0,0,1,10,2016,2016,Northern,15.0,1.0,12.0,1.0,0.0,1.0,2016.0,north,Santa Cruz_2016
39,Shasta,13,5,24,7,6,9,14,2,0,3,22,9,2016,north,64,44,5,0,1,0,0,2016,north,"$52,000 ",$0 ,"$12,211 ",$0 ,"$100,500 ",$0 ,"$40,000 ",$0 ,$0 ,$0 ,$700 ,"$10,300 ",2016,unspecified,"$112,500 ","$48,701 ","$2,510 ",$0 ,"$52,000 ",$0 ,$0 ,2016,north,480,311,1,42,7,2.0,2,27,0,0,1,47,40,2016,2016,Northern,480.0,7.0,115.0,3.0,15.0,340.0,2016.0,north,Shasta_2016
40,Sierra,0,0,0,0,0,0,0,0,0,0,0,0,2016,north,0,0,0,0,0,0,0,2016,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2016,unspecified,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2016,north,0,0,0,0,0,0.0,0,0,0,0,0,0,0,2016,2016,Northern,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Sierra_2016
41,Siskiyou,3,8,20,10,5,21,59,1,1,3,22,7,2016,north,137,18,4,0,1,0,0,2016,north,$200 ,$0 ,$500 ,"$286,411 ",$501 ,$0 ,"$1,500 ",$500 ,"$1,300 ",$0 ,"$4,800 ",$0 ,2016,unspecified,"$5,801 ","$1,900 ","$1,800 ",$0 ,"$286,211 ",$0 ,$0 ,2016,north,844,0,2,9,713,2.0,8,1,29,28,0,31,21,2016,2016,Northern,844.0,1.0,831.0,6.0,5.0,1.0,2016.0,north,Siskiyou_2016
42,Solano,0,0,0,2,4,0,0,0,0,0,3,2,2016,north,4,5,2,0,0,0,0,2016,north,$0 ,$0 ,$0 ,$100 ,"$1,002 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$2,001 ",$0 ,2016,unspecified,$100 ,"$1,003 ","$2,000 ",$0 ,$0 ,$0 ,$0 ,2016,north,73,0,0,0,0,4.0,0,0,0,0,0,68,1,2016,2016,Northern,73.0,0.0,72.0,0.0,0.0,1.0,2016.0,north,Solano_2016
43,Sonoma,8,10,7,13,12,0,21,2,0,0,27,21,2016,north,88,31,1,0,0,1,0,2016,north,$0 ,$0 ,$0 ,"$1,000 ",$502 ,$0 ,"$116,002 ",$0 ,$0 ,$0 ,"$503,902 ","$43,700 ",2016,unspecified,"$126,100 ","$539,006 ",$0 ,$0 ,$0 ,$0 ,$0 ,2016,north,"1,632",3,0,1,4,12.0,0,"1,559",1,0,0,42,10,2016,2016,Northern,1632.0,3.0,74.0,6.0,0.0,1549.0,2016.0,north,Sonoma_2016
44,Stanislaus,0,1,0,2,1,1,1,0,0,0,10,2,2016,north/south,7,5,5,1,0,0,0,2016,north/south,$0 ,"$1,600 ",$0 ,"$4,500 ",$100 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$2,250 ",$100 ,2016,unspecified,$100 ,"$1,700 ","$5,750 ","$1,000 ",$0 ,$0 ,$0 ,2016,south,281,0,8,0,30,1.0,3,0,0,0,0,207,32,2016,2016,Northern,281.0,1.0,280.0,0.0,0.0,0.0,2016.0,north,Stanislaus_2016
