,county,arson_x,campfire_x,debris burning_x,elec. power_x,equip. use_x,ltng._x,misc._x,p-w-f_x,railroad_x,smoking_x,undet._x,vehicle_x,year_x,region_x,.25 acres or <_x,.26-9.99 acres_x,10-99 acres_x,100-299 acres_x,300-999 acres_x,1000-4999 acres_x,5000 acres >_x,year_y,region_y,total_x,arson_y,campfire_y,debris burning_y,elec. power_y,equip. use_y,ltng._y,misc._y,p-w-f_y,railroad_y,smoking_y,undet._y,vehicle_y,year_x,region_x,total_y,brush,grass,timber,woodland,other,year_y,region_y,arson,campfire,debris burning,equip. use,ltng.,misc.,powerline,p-w-f,rail-road,smoking,undet.,vehicle,year ,region ,.25 acres or <_y,.26-9.99 acres_y,10-99 acres_y,100-299 acres_y,300-999 acres_y,1000-4999 acres_y,5000 acres >_y,year,region,county_year
31,Sacramento,1.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,2013.0,north,3.0,13.0,1.0,0.0,0.0,0.0,0.0,2013.0,north,83,0.0,0.0,2.0,7,11,0.0,0,0.0,0.0,0.0,58,5.0,2013.0,Northern,83.0,0.0,55.0,0.0,0.0,28.0,2013.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$2 ,$0 ,2013.0,north,$0 ,$2 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013.0,north,Sacramento_2013
32,San Benito,1.0,1.0,2.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,3.0,4.0,2013.0,south,8.0,9.0,1.0,0.0,1.0,0.0,0.0,2013.0,south,466,1.0,0.0,3.0,0,354,0.0,7,0.0,0.0,0.0,1,100.0,2013.0,Southern,466.0,0.0,462.0,1.0,0.0,3.0,2013.0,south,$0 ,$0 ,"$5,000 ",$0 ,"$8,000 ",$0 ,"$1,000 ",$0 ,$0 ,$0 ,$0 ,"$8,600 ",2013.0,south,$0 ,"$14,600 ",$0 ,$0 ,"$8,000 ",$0 ,$0 ,2013.0,south,San Benito_2013
33,San Bernardino,8.0,5.0,21.0,2.0,5.0,6.0,17.0,5.0,2.0,4.0,21.0,8.0,2013.0,south,74.0,27.0,2.0,0.0,1.0,0.0,0.0,2013.0,south,666,539.0,2.0,4.0,1,13,12.0,4,1.0,3.0,2.0,82,3.0,2013.0,Southern,666.0,22.0,635.0,0.0,0.0,9.0,2013.0,south,$0 ,$0 ,$0 ,$0 ,"$5,000 ",$300 ,"$2,000 ",$0 ,$25 ,$0 ,$1 ,$0 ,2013.0,south,"$7,301 ",$25 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013.0,south,San Bernardino_2013
34,San Diego,11.0,7.0,7.0,10.0,27.0,1.0,27.0,3.0,0.0,2.0,86.0,16.0,2013.0,south,99.0,75.0,15.0,5.0,0.0,2.0,1.0,2013.0,south,"13,319",5.0,6.0,5.0,16,215,12.0,49,1.0,0.0,5.0,"12,847",158.0,2013.0,Southern,13319.0,7215.0,5755.0,6.0,4.0,339.0,2013.0,south,$0 ,"$1,300 ",$0 ,"$1,500 ","$70,200 ",$0 ,$2 ,$1 ,$0 ,$0 ,"$202,154 ","$2,800 ",2013.0,south,"$103,953 ","$171,800 ","$2,202 ",$0 ,$0 ,$0 ,$2 ,2013.0,south,San Diego_2013
35,San Joaquin,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2013.0,north,2.0,4.0,1.0,0.0,0.0,0.0,0.0,2013.0,north,67,1.0,0.0,1.0,0,64,0.0,0,0.0,0.0,0.0,1,0.0,2013.0,Northern,67.0,0.0,2.0,0.0,0.0,65.0,2013.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$1 ,$0 ,2013.0,north,$0 ,$1 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013.0,north,San Joaquin_2013
36,San Luis Obispo,0.0,5.0,5.0,13.0,12.0,0.0,30.0,2.0,0.0,2.0,37.0,16.0,2013.0,south,63.0,54.0,5.0,0.0,0.0,0.0,0.0,2013.0,south,407,0.0,5.0,9.0,117,61,0.0,26,0.0,0.0,8.0,161,20.0,2013.0,Southern,407.0,54.0,321.0,0.0,8.0,24.0,2013.0,south,$0 ,$0 ,$0 ,"$11,300 ","$1,550 ",$0 ,"$1,100 ",$0 ,$0 ,$0 ,"$7,600 ","$19,500 ",2013.0,south,"$17,200 ","$20,250 ","$3,600 ",$0 ,$0 ,$0 ,$0 ,2013.0,south,San Luis Obispo_2013
37,San Mateo,1.0,1.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,3.0,2013.0,north,9.0,10.0,0.0,0.0,0.0,0.0,0.0,2013.0,north,13,1.0,0.0,0.0,2,1,0.0,0,0.0,0.0,0.0,4,5.0,2013.0,Northern,13.0,0.0,6.0,2.0,0.0,5.0,2013.0,north,$0 ,$0 ,$0 ,$200 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$15 ,"$1,000 ",2013.0,north,$215 ,"$1,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,2013.0,north,San Mateo_2013
38,San Mateo-Santa Cruz,12.0,12.0,9.0,11.0,5.0,1.0,10.0,4.0,1.0,4.0,29.0,10.0,2013.0,north,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,San Mateo-Santa Cruz_2013
39,Santa Clara,0.0,1.0,1.0,4.0,4.0,0.0,5.0,2.0,0.0,0.0,17.0,4.0,2013.0,north,15.0,20.0,2.0,1.0,0.0,0.0,0.0,2013.0,north,148,0.0,0.0,1.0,101,3,0.0,13,0.0,0.0,0.0,18,12.0,2013.0,Northern,148.0,0.0,129.0,1.0,0.0,18.0,2013.0,north,$0 ,$0 ,"$10,000 ","$2,000 ",$0 ,$0 ,"$1,200 ",$0 ,$0 ,$0 ,$360 ,$0 ,2013.0,north,$100 ,"$10,360 ","$1,100 ","$2,000 ",$0 ,$0 ,$0 ,2013.0,north,Santa Clara_2013
40,Santa Cruz,11.0,11.0,9.0,7.0,4.0,0.0,10.0,4.0,1.0,4.0,21.0,7.0,2013.0,north,68.0,20.0,1.0,0.0,0.0,0.0,0.0,2013.0,north,45,21.0,3.0,2.0,2,0,0.0,5,1.0,0.0,1.0,9,1.0,2013.0,Northern,45.0,4.0,6.0,11.0,0.0,24.0,2013.0,north,$0 ,$2 ,$1 ,$0 ,$400 ,$0 ,$800 ,$0 ,$0 ,$5 ,"$741,300 ","$7,010 ",2013.0,north,"$6,508 ","$743,010 ",$0 ,$0 ,$0 ,$0 ,$0 ,2013.0,north,Santa Cruz_2013
