,county,arson_x,campfire_x,debris burning_x,equip. use_x,ltng._x,misc._x,powerline_x,p-w-f_x,railroad_x,smoking_x,undet._x,vehicle_x,year_x,region_x,.25 acres or <_x,.26-9.99 acres_x,10-99 acres_x,100-299 acres_x,300-999 acres_x,1000-4999 acres_x,5000 acres >_x,year_y,region_y,arson_y,campfire_y,debris_burning,equip_use,ltng,misc,powerline_y,pwf,railroad_y,smoking_y,undet,vehicle_y,year_x,region_x,total,brush,grass,timber,woodland,other,year_y,region_y,arson,campfire,debris burning_y,equip. use_y,ltng._y,misc._y,power-line,p-w-f_y,rail-road,smoking,undet._y,vehicle,year ,region ,.25 acres or <_y,.26-9.99 acres_y,10-99 acres_y,100-299 acres_y,300-999 acres_y,1000-4999 acres_y,5000 acres >_y,year,region,county_year
20,Mariposa,1.0,0.0,10.0,6.0,1.0,18.0,1.0,0.0,0.0,0.0,12.0,0.0,2011.0,south,27.0,18.0,4.0,0.0,0.0,0.0,0.0,2011.0,south,1,0.0,24.0,10,0,53.0,4.0,0.0,0.0,0.0,19,0.0,2011.0,south,112.0,36.0,66.0,0.0,1.0,9.0,2011.0,south,$0 ,$0 ,"$10,001 ",$100 ,$0 ,$2 ,"$3,400 ",$0 ,$0 ,$0 ,$500 ,$0 ,2011.0,south ,$3 ,"$3,500 ","$10,500 ",$0 ,$0 ,$0 ,$0 ,2011.0,south,Mariposa_2012
21,Mendocino,13.0,2.0,21.0,10.0,0.0,36.0,2.0,1.0,0.0,2.0,38.0,3.0,2011.0,north,46.0,81.0,0.0,0.0,1.0,0.0,0.0,2011.0,north,22,2.0,20.0,19,0,659.0,1.0,1.0,0.0,1.0,38,3.0,2011.0,north,766.0,12.0,75.0,37.0,1.0,641.0,2011.0,north,$800 ,$0 ,$0 ,$0 ,$0 ,"$4,012 ",$0 ,$0 ,$0 ,$0 ,"$26,200 ","$50,000 ",2011.0,north,"$11,000 ","$67,011 ",$0 ,$0 ,"$3,001 ",$0 ,$0 ,2011.0,north,Mendocino_2012
22,Merced,0.0,0.0,0.0,2.0,0.0,8.0,2.0,0.0,0.0,0.0,10.0,1.0,2011.0,south,2.0,13.0,5.0,1.0,2.0,0.0,0.0,2011.0,south,0,0.0,0.0,61,0,30.0,39.0,0.0,0.0,0.0,693,575.0,2011.0,south,1397.0,40.0,1351.0,0.0,0.0,6.0,2011.0,south,$0 ,$0 ,$0 ,"$60,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$9,780 ","$11,300 ",2011.0,south ,$0 ,$0 ,"$60,000 ",$0 ,"$21,080 ",$0 ,$0 ,2011.0,south,Merced_2012
23,Modoc,0.0,0.0,3.0,1.0,3.0,18.0,0.0,0.0,0.0,0.0,4.0,0.0,2011.0,north,17.0,11.0,1.0,0.0,0.0,0.0,0.0,2011.0,north,0,0.0,4.0,0,10,18.0,0.0,0.0,0.0,0.0,1,0.0,2011.0,north,33.0,6.0,0.0,0.0,0.0,27.0,2011.0,north,$0 ,$0 ,$500 ,$200 ,$50 ,$32 ,$0 ,$0 ,$0 ,$0 ,"$1,100 ",$0 ,2011.0,north,$250 ,"$1,632 ",$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,Modoc_2012
24,Monterey,6.0,1.0,9.0,16.0,0.0,27.0,5.0,0.0,0.0,0.0,7.0,1.0,2011.0,south,27.0,29.0,13.0,1.0,2.0,0.0,0.0,2011.0,south,22,0.0,54.0,276,0,977.0,446.0,0.0,0.0,0.0,6,20.0,2011.0,south,1801.0,883.0,916.0,1.0,0.0,1.0,2011.0,south,$250 ,$0 ,$400 ,$220 ,$0 ,"$132,586 ","$30,420 ",$0 ,$0 ,$0 ,"$1,100 ",$100 ,2011.0,south ,$601 ,"$1,730 ","$2,745 ",$0 ,"$160,000 ",$0 ,$0 ,2011.0,south,Monterey_2012
25,Napa,0.0,0.0,3.0,6.0,0.0,10.0,2.0,0.0,0.0,0.0,8.0,1.0,2011.0,north,10.0,17.0,2.0,0.0,1.0,0.0,0.0,2011.0,north,0,0.0,6.0,21,0,72.0,3.0,0.0,0.0,0.0,517,0.0,2011.0,north,619.0,5.0,103.0,1.0,0.0,510.0,2011.0,north,$0 ,$0 ,$0 ,,$0 ,"$754,050 ",$300 ,$0 ,,$0 ,$0 ,$0 ,2011.0,north,$0 ,"$4,350 ","$750,000 ",$0 ,$0 ,$0 ,$0 ,2011.0,north,Napa_2012
26,Nevada,2.0,1.0,15.0,6.0,3.0,15.0,1.0,0.0,0.0,2.0,14.0,0.0,2011.0,north,37.0,21.0,1.0,0.0,0.0,0.0,0.0,2011.0,north,2,0.0,20.0,2,0,11.0,0.0,0.0,0.0,2.0,7,0.0,2011.0,north,44.0,3.0,6.0,17.0,1.0,17.0,2011.0,north,$0 ,$0 ,$50 ,"$29,700 ",$0 ,$500 ,$0 ,$0 ,$0 ,$0 ,$100 ,$0 ,2011.0,north,"$29,000 ","$1,350 ",$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,Nevada_2012
27,Placer,1.0,1.0,13.0,9.0,1.0,22.0,7.0,0.0,0.0,3.0,20.0,1.0,2011.0,north,39.0,39.0,0.0,0.0,0.0,0.0,0.0,2011.0,north,3,0.0,14.0,11,0,14.0,4.0,0.0,0.0,1.0,10,2.0,2011.0,north,58.0,2.0,38.0,6.0,0.0,12.0,2011.0,north,$0 ,$0 ,"$5,050 ",$500 ,$0 ,"$7,300 ","$41,050 ",$0 ,$0 ,$0 ,"$1,650 ",$0 ,2011.0,north,"$1,900 ","$53,650 ",$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,Placer_2012
28,Plumas,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.0,north,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2011.0,north,2,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,2011.0,north,2.0,0.0,0.0,0.0,0.0,2.0,2011.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,Plumas_2012
29,Plumas,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.0,north,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2011.0,north,2,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,2011.0,north,2.0,0.0,0.0,0.0,0.0,2.0,2011.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,Plumas_2012
