county,arson_x,campfire_x,debris_burning_x,equip._use_x,ltng._x,misc._x,powerline_x,p-w-f_x,railroad_x,smoking_x,undet._x,vehicle_x,year_x,region_x,.25_acres_or_<_x,.26-9.99_acres_x,10-99_acres_x,100-299_acres_x,300-999_acres_x,1000-4999_acres_x,5000_acres_>_x,year_y,region_y,arson_y,campfire_y,debris_burning,equip_use,ltng,misc,powerline_y,pwf,railroad_y,smoking_y,undet,vehicle_y,year_x.1,region_x.1,brush,grass,timber,woodland,other,year_y.1,region_y.1,arson,campfire,debris_burning_y,equip._use_y,ltng._y,misc._y,power-line,p-w-f_y,rail-road,smoking,undet._y,vehicle,year_,region_,.25_acres_or_<_y,.26-9.99_acres_y,10-99_acres_y,100-299_acres_y,300-999_acres_y,1000-4999_acres_y,5000_acres_>_y,year,region,county_year
Plumas,2,0,0,0,1,0,0,0,0,0,0,0,2011,north,1,2,0,0,0,0,0,2011,north,0,0,1,0,0,0,0,0,0,0,1,0,2011,north,1,0,1,0,0,2011,north,$0 ,$0 ,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,Plumas_2012
Plumas,2,0,0,0,1,0,0,0,0,0,0,0,2011,north,1,2,0,0,0,0,0,2011,north,0,0,1,0,0,0,0,0,0,0,1,0,2011,north,1,0,1,0,0,2011,north,$0 ,$0 ,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,Plumas_2012
Plumas,2,0,0,0,1,0,0,0,0,0,0,0,2011,north,5,1,0,0,0,0,0,2011,north,2,0,0,0,0,0,0,0,0,0,0,0,2011,north,0,0,0,0,2,2011,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,Plumas_2012
Plumas,2,0,0,0,1,0,0,0,0,0,0,0,2011,north,5,1,0,0,0,0,0,2011,north,2,0,0,0,0,0,0,0,0,0,0,0,2011,north,0,0,0,0,2,2011,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,Plumas_2012
Plumas,2,0,0,0,1,0,0,0,0,0,0,0,2011,north,5,1,0,0,0,0,0,2011,north,2,0,0,0,0,0,0,0,0,0,0,0,2011,north,0,0,0,0,2,2011,north,$0 ,$0 ,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,Plumas_2012
Plumas,2,0,0,0,1,0,0,0,0,0,0,0,2011,north,5,1,0,0,0,0,0,2011,north,2,0,0,0,0,0,0,0,0,0,0,0,2011,north,0,0,0,0,2,2011,north,$0 ,$0 ,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,Plumas_2012
Plumas,2,0,0,0,1,0,0,0,0,0,0,0,2011,north,5,1,0,0,0,0,0,2011,north,2,0,0,0,0,0,0,0,0,0,0,0,2011,north,1,0,1,0,0,2011,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,Plumas_2012
Plumas,2,0,0,0,1,0,0,0,0,0,0,0,2011,north,5,1,0,0,0,0,0,2011,north,2,0,0,0,0,0,0,0,0,0,0,0,2011,north,1,0,1,0,0,2011,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,Plumas_2012
Plumas,2,0,0,0,1,0,0,0,0,0,0,0,2011,north,5,1,0,0,0,0,0,2011,north,2,0,0,0,0,0,0,0,0,0,0,0,2011,north,1,0,1,0,0,2011,north,$0 ,$0 ,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,Plumas_2012
Plumas,2,0,0,0,1,0,0,0,0,0,0,0,2011,north,5,1,0,0,0,0,0,2011,north,2,0,0,0,0,0,0,0,0,0,0,0,2011,north,1,0,1,0,0,2011,north,$0 ,$0 ,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,Plumas_2012
Plumas,2,0,0,0,1,0,0,0,0,0,0,0,2011,north,5,1,0,0,0,0,0,2011,north,0,0,1,0,0,0,0,0,0,0,1,0,2011,north,0,0,0,0,2,2011,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,Plumas_2012
Plumas,2,0,0,0,1,0,0,0,0,0,0,0,2011,north,5,1,0,0,0,0,0,2011,north,0,0,1,0,0,0,0,0,0,0,1,0,2011,north,0,0,0,0,2,2011,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,Plumas_2012
Plumas,2,0,0,0,1,0,0,0,0,0,0,0,2011,north,5,1,0,0,0,0,0,2011,north,0,0,1,0,0,0,0,0,0,0,1,0,2011,north,0,0,0,0,2,2011,north,$0 ,$0 ,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,Plumas_2012
