county,arson_x,campfire_x,debris_burning_x,elec._power_x,equip._use_x,ltng._x,misc._x,p-w-f_x,railroad_x,smoking_x,undet._x,vehicle_x,year_x,region_x,.25_acres_or_<_x,.26-9.99_acres_x,10-99_acres_x,100-299_acres_x,300-999_acres_x,1000-4999_acres_x,5000_acres_>_x,year_y,region_y,arson_y,campfire_y,debris_burning_y,elec._power_y,equip._use_y,ltng._y,misc._y,p-w-f_y,railroad_y,smoking_y,undet._y,vehicle_y,year_x.1,region_x.1,brush,grass,timber,woodland,other,year_y.1,region_y.1,arson,campfire,debris_burning,elec._power,equip._use,ltng.,misc.,p-w-f,railroad,smoking,undet.,vehicle,year_x.2,region_x.2,.25_acres_or_<_y,.26-9.99_acres_y,10-99_acres_y,100-299_acres_y,300-999_acres_y,1000-4999_acres_y,5000_acres_>_y,year_y.2,region_y.2,county_year
Sonoma,4.0,13.0,24.0,21.0,14.0,0.0,21.0,1.0,0.0,0.0,11.0,11.0,2014.0,north,85.0,33.0,2.0,0.0,0.0,0.0,0.0,2014.0,north,0,1.0,8.0,18.0,41,0,9,0.0,0.0,0.0,4.0,1,2014.0,Northern,5.0,52.0,10.0,0.0,15.0,2014.0,north,$0 ,$0 ,$0 ,$5 ,"$14,350 ",$0 ,$600 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014.0,north  ,"$7,105 ","$7,850 ",$0 ,$0 ,$0 ,$0 ,$0 ,2014.0,north,Sonoma_2014
Sutter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014.0,north,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014.0,north,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,2014.0,Northern,0.0,0.0,0.0,0.0,0.0,2014.0,north,$0 ,$0 ,$0 ,,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014.0,north,Sutter_2014
Tehama,1.0,0.0,10.0,2.0,7.0,4.0,14.0,2.0,0.0,0.0,23.0,5.0,2014.0,north,29.0,35.0,3.0,1.0,0.0,0.0,0.0,2014.0,north,0,0.0,0.0,0.0,0,0,5,0.0,0.0,0.0,0.0,0,2014.0,Northern,0.0,0.0,5.0,0.0,0.0,2014.0,north,$0 ,$0 ,$0 ,,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014.0,north,Tehama_2014
Tehama,1.0,0.0,10.0,2.0,7.0,4.0,14.0,2.0,0.0,0.0,23.0,5.0,2014.0,north,29.0,35.0,3.0,1.0,0.0,0.0,0.0,2014.0,north,0,0.0,0.0,0.0,0,0,5,0.0,0.0,0.0,0.0,0,2014.0,Northern,0.0,0.0,5.0,0.0,0.0,2014.0,north,$0 ,$0 ,$0 ,,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014.0,north,"$3,000 ","$17,000 ","$30,500 ","$2,000 ",$0 ,$0 ,$0 ,2014.0,north,Tehama_2014
Tehama,1.0,0.0,10.0,2.0,7.0,4.0,14.0,2.0,0.0,0.0,23.0,5.0,2014.0,north,29.0,35.0,3.0,1.0,0.0,0.0,0.0,2014.0,north,0,0.0,0.0,0.0,0,0,5,0.0,0.0,0.0,0.0,0,2014.0,Northern,0.0,0.0,5.0,0.0,0.0,2014.0,north,$0 ,$0 ,$100 ,"$6,000 ","$5,200 ","$5,000 ",$500 ,$0 ,$0 ,$0 ,"$35,000 ",$700 ,2014.0,north  ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014.0,north,Tehama_2014
Tehama,1.0,0.0,10.0,2.0,7.0,4.0,14.0,2.0,0.0,0.0,23.0,5.0,2014.0,north,29.0,35.0,3.0,1.0,0.0,0.0,0.0,2014.0,north,0,0.0,0.0,0.0,0,0,5,0.0,0.0,0.0,0.0,0,2014.0,Northern,0.0,0.0,5.0,0.0,0.0,2014.0,north,$0 ,$0 ,$100 ,"$6,000 ","$5,200 ","$5,000 ",$500 ,$0 ,$0 ,$0 ,"$35,000 ",$700 ,2014.0,north  ,"$3,000 ","$17,000 ","$30,500 ","$2,000 ",$0 ,$0 ,$0 ,2014.0,north,Tehama_2014
Tehama,1.0,0.0,10.0,2.0,7.0,4.0,14.0,2.0,0.0,0.0,23.0,5.0,2014.0,north,29.0,35.0,3.0,1.0,0.0,0.0,0.0,2014.0,north,0,0.0,0.0,0.0,0,0,5,0.0,0.0,0.0,0.0,0,2014.0,Northern,1.0,312.0,1.0,1.0,23.0,2014.0,north,$0 ,$0 ,$0 ,,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014.0,north,Tehama_2014
Tehama,1.0,0.0,10.0,2.0,7.0,4.0,14.0,2.0,0.0,0.0,23.0,5.0,2014.0,north,29.0,35.0,3.0,1.0,0.0,0.0,0.0,2014.0,north,0,0.0,0.0,0.0,0,0,5,0.0,0.0,0.0,0.0,0,2014.0,Northern,1.0,312.0,1.0,1.0,23.0,2014.0,north,$0 ,$0 ,$0 ,,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014.0,north,"$3,000 ","$17,000 ","$30,500 ","$2,000 ",$0 ,$0 ,$0 ,2014.0,north,Tehama_2014
Tehama,1.0,0.0,10.0,2.0,7.0,4.0,14.0,2.0,0.0,0.0,23.0,5.0,2014.0,north,29.0,35.0,3.0,1.0,0.0,0.0,0.0,2014.0,north,0,0.0,0.0,0.0,0,0,5,0.0,0.0,0.0,0.0,0,2014.0,Northern,1.0,312.0,1.0,1.0,23.0,2014.0,north,$0 ,$0 ,$100 ,"$6,000 ","$5,200 ","$5,000 ",$500 ,$0 ,$0 ,$0 ,"$35,000 ",$700 ,2014.0,north  ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014.0,north,Tehama_2014
Tehama,1.0,0.0,10.0,2.0,7.0,4.0,14.0,2.0,0.0,0.0,23.0,5.0,2014.0,north,29.0,35.0,3.0,1.0,0.0,0.0,0.0,2014.0,north,0,0.0,0.0,0.0,0,0,5,0.0,0.0,0.0,0.0,0,2014.0,Northern,1.0,312.0,1.0,1.0,23.0,2014.0,north,$0 ,$0 ,$100 ,"$6,000 ","$5,200 ","$5,000 ",$500 ,$0 ,$0 ,$0 ,"$35,000 ",$700 ,2014.0,north  ,"$3,000 ","$17,000 ","$30,500 ","$2,000 ",$0 ,$0 ,$0 ,2014.0,north,Tehama_2014
Tehama,1.0,0.0,10.0,2.0,7.0,4.0,14.0,2.0,0.0,0.0,23.0,5.0,2014.0,north,29.0,35.0,3.0,1.0,0.0,0.0,0.0,2014.0,north,1,0.0,13.0,4.0,11,3,19,1.0,0.0,0.0,274.0,12,2014.0,Northern,0.0,0.0,5.0,0.0,0.0,2014.0,north,$0 ,$0 ,$0 ,,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014.0,north,Tehama_2014
Tehama,1.0,0.0,10.0,2.0,7.0,4.0,14.0,2.0,0.0,0.0,23.0,5.0,2014.0,north,29.0,35.0,3.0,1.0,0.0,0.0,0.0,2014.0,north,1,0.0,13.0,4.0,11,3,19,1.0,0.0,0.0,274.0,12,2014.0,Northern,0.0,0.0,5.0,0.0,0.0,2014.0,north,$0 ,$0 ,$0 ,,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014.0,north,"$3,000 ","$17,000 ","$30,500 ","$2,000 ",$0 ,$0 ,$0 ,2014.0,north,Tehama_2014
Tehama,1.0,0.0,10.0,2.0,7.0,4.0,14.0,2.0,0.0,0.0,23.0,5.0,2014.0,north,29.0,35.0,3.0,1.0,0.0,0.0,0.0,2014.0,north,1,0.0,13.0,4.0,11,3,19,1.0,0.0,0.0,274.0,12,2014.0,Northern,0.0,0.0,5.0,0.0,0.0,2014.0,north,$0 ,$0 ,$100 ,"$6,000 ","$5,200 ","$5,000 ",$500 ,$0 ,$0 ,$0 ,"$35,000 ",$700 ,2014.0,north  ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014.0,north,Tehama_2014
Tehama,1.0,0.0,10.0,2.0,7.0,4.0,14.0,2.0,0.0,0.0,23.0,5.0,2014.0,north,29.0,35.0,3.0,1.0,0.0,0.0,0.0,2014.0,north,1,0.0,13.0,4.0,11,3,19,1.0,0.0,0.0,274.0,12,2014.0,Northern,0.0,0.0,5.0,0.0,0.0,2014.0,north,$0 ,$0 ,$100 ,"$6,000 ","$5,200 ","$5,000 ",$500 ,$0 ,$0 ,$0 ,"$35,000 ",$700 ,2014.0,north  ,"$3,000 ","$17,000 ","$30,500 ","$2,000 ",$0 ,$0 ,$0 ,2014.0,north,Tehama_2014
Tehama,1.0,0.0,10.0,2.0,7.0,4.0,14.0,2.0,0.0,0.0,23.0,5.0,2014.0,north,29.0,35.0,3.0,1.0,0.0,0.0,0.0,2014.0,north,1,0.0,13.0,4.0,11,3,19,1.0,0.0,0.0,274.0,12,2014.0,Northern,1.0,312.0,1.0,1.0,23.0,2014.0,north,$0 ,$0 ,$0 ,,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014.0,north,Tehama_2014
Tehama,1.0,0.0,10.0,2.0,7.0,4.0,14.0,2.0,0.0,0.0,23.0,5.0,2014.0,north,29.0,35.0,3.0,1.0,0.0,0.0,0.0,2014.0,north,1,0.0,13.0,4.0,11,3,19,1.0,0.0,0.0,274.0,12,2014.0,Northern,1.0,312.0,1.0,1.0,23.0,2014.0,north,$0 ,$0 ,$0 ,,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014.0,north,"$3,000 ","$17,000 ","$30,500 ","$2,000 ",$0 ,$0 ,$0 ,2014.0,north,Tehama_2014
Tehama,1.0,0.0,10.0,2.0,7.0,4.0,14.0,2.0,0.0,0.0,23.0,5.0,2014.0,north,29.0,35.0,3.0,1.0,0.0,0.0,0.0,2014.0,north,1,0.0,13.0,4.0,11,3,19,1.0,0.0,0.0,274.0,12,2014.0,Northern,1.0,312.0,1.0,1.0,23.0,2014.0,north,$0 ,$0 ,$100 ,"$6,000 ","$5,200 ","$5,000 ",$500 ,$0 ,$0 ,$0 ,"$35,000 ",$700 ,2014.0,north  ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014.0,north,Tehama_2014
Tehama,1.0,0.0,10.0,2.0,7.0,4.0,14.0,2.0,0.0,0.0,23.0,5.0,2014.0,north,29.0,35.0,3.0,1.0,0.0,0.0,0.0,2014.0,north,1,0.0,13.0,4.0,11,3,19,1.0,0.0,0.0,274.0,12,2014.0,Northern,1.0,312.0,1.0,1.0,23.0,2014.0,north,$0 ,$0 ,$100 ,"$6,000 ","$5,200 ","$5,000 ",$500 ,$0 ,$0 ,$0 ,"$35,000 ",$700 ,2014.0,north  ,"$3,000 ","$17,000 ","$30,500 ","$2,000 ",$0 ,$0 ,$0 ,2014.0,north,Tehama_2014
Tulare,10.0,2.0,4.0,3.0,4.0,0.0,5.0,0.0,0.0,1.0,10.0,6.0,2014.0,south,27.0,14.0,3.0,1.0,0.0,0.0,0.0,2014.0,south,65,7.0,1.0,178.0,2,0,1,0.0,0.0,1.0,16.0,50,2014.0,Southern,0.0,318.0,1.0,0.0,2.0,2014.0,south,"$91,754 ","$150,000 ",$0 ,"$1,000 ","$1,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014.0,south ,"$1,000 ","$150,000 ","$92,754 ",$0 ,$0 ,$0 ,$0 ,2014.0,south,Tulare_2014
Tuolumne,5.0,1.0,17.0,9.0,5.0,3.0,16.0,2.0,0.0,0.0,31.0,5.0,2014.0,south,55.0,32.0,5.0,1.0,1.0,0.0,0.0,2014.0,south,5,1.0,9.0,22.0,3,11,2,0.0,0.0,0.0,121.0,551,2014.0,Southern,10.0,665.0,7.0,2.0,41.0,2014.0,south,$404 ,$0 ,"$3,700 ","$3,204 ","$1,000 ","$2,300 ",$0 ,$0 ,$0 ,$0 ,"$433,454 ","$55,301 ",2014.0,south ,"$3,064 ","$419,499 ","$23,000 ","$53,800 ",$0 ,$0 ,$0 ,2014.0,south,Tuolumne_2014
W. San Joaquin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014.0,north,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014.0,north,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,2014.0,Northern,0.0,0.0,0.0,0.0,0.0,2014.0,north,$0 ,$0 ,$0 ,$0 ,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014.0,north  ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014.0,north,W. San Joaquin_2014
W. Stanislaus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,2014.0,north,3.0,11.0,1.0,0.0,0.0,0.0,0.0,2014.0,north,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,18.0,4,2014.0,Northern,0.0,21.0,0.0,0.0,1.0,2014.0,north,$0 ,$0 ,$0 ,$0 ,,$0 ,$0 ,$0 ,$0 ,$0 ,"$10,000 ",$0 ,2014.0,north  ,$0 ,$0 ,"$10,000 ",$0 ,$0 ,$0 ,$0 ,2014.0,north,W. Stanislaus_2014
Yolo,0.0,0.0,0.0,2.0,6.0,0.0,3.0,0.0,0.0,1.0,4.0,1.0,2014.0,north,7.0,8.0,1.0,0.0,1.0,0.0,0.0,2014.0,north,0,0.0,0.0,3.0,23,0,2,0.0,0.0,1.0,1.0,370,2014.0,Northern,0.0,398.0,0.0,0.0,2.0,2014.0,north,$0 ,$0 ,$0 ,$0 ,,$0 ,$302 ,$0 ,$0 ,$0 ,$0 ,"$10,000 ",2014.0,north  ,$300 ,$2 ,$0 ,$0 ,"$10,000 ",$0 ,$0 ,2014.0,north,Yolo_2014
Yuba,2.0,1.0,11.0,6.0,2.0,1.0,5.0,0.0,0.0,2.0,17.0,2.0,2014.0,north,22.0,25.0,2.0,0.0,0.0,0.0,0.0,2014.0,north,1,1.0,15.0,18.0,7,1,3,0.0,0.0,49.0,31.0,0,2014.0,Northern,51.0,42.0,11.0,0.0,22.0,2014.0,north,$0 ,$0 ,$100 ,"$21,000 ",,$0 ,"$299,000 ",$0 ,$0 ,"$150,000 ","$3,805 ","$15,000 ",2014.0,north,"$17,700 ","$321,205 ","$150,000 ",$0 ,$0 ,$0 ,$0 ,2014.0,north,Yuba_2014
Tehama-Glenn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0 ,$0 ,$100 ,"$6,000 ","$5,200 ","$5,000 ",$600 ,$0 ,$0 ,$0 ,"$35,000 ",$700 ,2014.0,north  ,,,,,,,,,,Tehama-Glenn_2014
