county,arson_x,campfire_x,debris_burning_x,elec._power_x,equip._use_x,ltng._x,misc._x,p-w-f_x,railroad_x,smoking_x,undet._x,vehicle_x,year_x,region_x,.25_acres_or_<_x,.26-9.99_acres_x,10-99_acres_x,100-299_acres_x,300-999_acres_x,1000-4999_acres_x,5000_acres_>_x,year_y,region_y,arson_y,campfire_y,debris_burning_y,elec._power_y,equip._use_y,ltng._y,misc._y,p-w-f_y,railroad_y,smoking_y,undet._y,vehicle_y,year_x.1,region_x.1,brush,grass,timber,woodland,other,year_y.1,region_y.1,arson,campfire,debris_burning,elec._power,equip._use,ltng.,misc.,p-w-f,railroad,smoking,undet.,vehicle,year_x.2,region_x.2,.25_acres_or_<_y,.26-9.99_acres_y,10-99_acres_y,100-299_acres_y,300-999_acres_y,1000-4999_acres_y,5000_acres_>_y,year_y.2,region_y.2,county_year
Mendocino,17.0,6.0,22.0,11.0,6.0,4.0,34.0,1.0,0.0,2.0,20.0,15.0,2014.0,north,68.0,62.0,6.0,0.0,1.0,0.0,1.0,2014.0,north,23,4.0,19.0,6.0,443,"12,576",36,1.0,0.0,1.0,91.0,7,2014.0,Northern,15.0,70.0,12641.0,1.0,480.0,2014.0,north,"$1,000 ",$510 ,"$20,100 ","$52,150 ","$1,425,618 ",$0 ,"$666,405 ","$10,000 ",$0 ,$0 ,$200 ,"$5,500 ",2014.0,north,"$461,142 ","$294,723 ",$0 ,$0 ,"$1,425,618 ",$0 ,$0 ,2014.0,north,Mendocino_2014
Mendocino,17.0,6.0,22.0,11.0,6.0,4.0,34.0,1.0,0.0,2.0,20.0,15.0,2014.0,north,68.0,62.0,6.0,0.0,1.0,0.0,1.0,2014.0,north,23,4.0,19.0,6.0,443,"12,576",36,1.0,0.0,1.0,91.0,7,2014.0,Northern,15.0,70.0,12641.0,1.0,480.0,2014.0,north,"$1,000 ",$510 ,"$20,100 ","$52,150 ","$1,425,618 ",$0 ,"$666,405 ","$10,000 ",$0 ,$0 ,$200 ,"$5,500 ",2014.0,north,"$461,142 ","$294,723 ",$0 ,$0 ,"$1,425,618 ",$0 ,$0 ,2014.0,north,Mendocino_2014
Merced,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,1.0,2014.0,south,2.0,11.0,1.0,0.0,0.0,0.0,0.0,2014.0,south,0,0.0,0.0,15.0,0,0,0,0.0,0.0,0.0,23.0,1,2014.0,Southern,0.0,30.0,0.0,0.0,9.0,2014.0,south,$0 ,$0 ,$0 ,$0 ,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014.0,south ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014.0,south,Merced_2014
Modoc,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,2014.0,north,4.0,7.0,0.0,0.0,0.0,0.0,0.0,2014.0,north,0,0.0,4.0,0.0,0,14,0,0.0,0.0,0.0,0.0,0,2014.0,Northern,0.0,4.0,14.0,0.0,0.0,2014.0,north,$0 ,$0 ,$0 ,,,$1 ,$0 ,$0 ,$0 ,$0 ,$10 ,$0 ,2014.0,north,$11 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014.0,north,Modoc_2014
Monterey,0.0,1.0,3.0,9.0,2.0,0.0,7.0,0.0,0.0,0.0,6.0,5.0,2014.0,south,19.0,11.0,1.0,2.0,0.0,0.0,0.0,2014.0,south,0,0.0,1.0,3.0,4,0,257,0.0,0.0,0.0,2.0,107,2014.0,Southern,66.0,117.0,191.0,0.0,0.0,2014.0,south,$0 ,$0 ,$0 ,$0 ,,$0 ,$0 ,$0 ,$0 ,$0 ,$180 ,"$2,000 ",2014.0,south ,"$2,180 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014.0,south,Monterey_2014
Napa,5.0,0.0,6.0,12.0,5.0,0.0,13.0,0.0,0.0,1.0,11.0,5.0,2014.0,north,39.0,15.0,1.0,1.0,0.0,1.0,1.0,2014.0,north,1,0.0,4.0,11.0,"4,331",0,"6,497",0.0,0.0,9.0,102.0,1,2014.0,Northern,0.0,10944.0,7.0,0.0,5.0,2014.0,north,$100 ,$0 ,"$103,808 ",$100 ,"$5,007 ",$0 ,"$4,000 ",$0 ,$0 ,$100 ,$400 ,"$12,500 ",2014.0,north  ,"$14,100 ","$111,908 ",$0 ,$0 ,$0 ,$7 ,$0 ,2014.0,north,Napa_2014
Nevada,3.0,4.0,20.0,7.0,5.0,2.0,7.0,0.0,0.0,3.0,21.0,3.0,2014.0,north,50.0,22.0,2.0,1.0,0.0,0.0,0.0,2014.0,north,0,0.0,18.0,7.0,0,16,2,0.0,0.0,0.0,168.0,1,2014.0,Northern,11.0,23.0,18.0,0.0,160.0,2014.0,north,$100 ,$0 ,"$100,000 ",$100 ,"$1,000 ",$0 ,"$15,000 ",$0 ,$0 ,$0 ,"$501,400 ","$1,010 ",2014.0,north,"$102,200 ","$16,410 ",$0 ,"$500,000 ",$0 ,$0 ,$0 ,2014.0,north,Nevada_2014
Placer,1.0,4.0,16.0,10.0,16.0,5.0,13.0,3.0,3.0,5.0,44.0,6.0,2014.0,north,78.0,46.0,1.0,0.0,1.0,0.0,0.0,2014.0,north,0,0.0,14.0,5.0,16,6,19,1.0,1.0,4.0,483.0,3,2014.0,Northern,463.0,50.0,23.0,2.0,14.0,2014.0,north,$0 ,"$7,100 ","$2,900 ","$5,600 ","$1,310 ",$0 ,$100 ,$0 ,$0 ,$0 ,"$1,401,600 ",$200 ,2014.0,north,"$16,510 ","$2,300 ",$0 ,$0 ,"$1,400,000 ",$0 ,$0 ,2014.0,north,Placer_2014
Plumas,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,2014.0,north,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2014.0,north,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,2014.0,Northern,0.0,0.0,0.0,0.0,0.0,2014.0,north,$0 ,$0 ,$1 ,,,$301 ,$0 ,$0 ,$0 ,$0 ,$600 ,$0 ,2014.0,north,$902 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014.0,north,Plumas_2014
Riverside,4.0,6.0,12.0,7.0,9.0,5.0,15.0,3.0,0.0,4.0,38.0,3.0,2014.0,south,46.0,53.0,6.0,1.0,0.0,0.0,0.0,2014.0,south,2,10.0,8.0,6.0,9,2,10,101.0,0.0,1.0,184.0,39,2014.0,Southern,82.0,151.0,2.0,1.0,136.0,2014.0,south,$0 ,$200 ,$0 ,"$10,000 ",$600 ,$2 ,$0 ,$0 ,$0 ,$0 ,"$261,000 ","$4,000 ",2014.0,south ,$0 ,"$271,802 ","$4,000 ",$0 ,$0 ,$0 ,$0 ,2014.0,south,Riverside_2014
