county,arson_x,campfire_x,debris_burning_x,equip._use_x,ltng._x,misc._x,p-w-f_x,powerline_x,railroad_x,smoking_x,undet._x,vehicle_x,.25_acres_or_<_x,.26-9.99_acres_x,10-99_acres_x,100-299_acres_x,300-999_acres_x,1000-4999_acres_x,5000_acres_>_x,arson_y,campfire_y,debris_burning_y,equip_use_y,ltng_y,misc._y,p-w-f_y,powerline_y,railroad_y,smoking_y,undet._y,vehicle_y,brush,grass,timber,woodland,other,arson,campfire,debris_burning,equip._use,ltng.,misc.,p-w-f,power-_line,rail-road,smoking,undet.,vehicle,.25_acres_or_<_y,.26-9.99_acres_y,10-99_acres_y,100-299_acres_y,300-999_acres_y,1000-4999_acres_y,5000_acres_>_y,year,region,county_year
El Dorado,5,0,36,7,0,37,0,3,0,3,17,1,69,38,2,0,0,0,0,6,0,17,4,0,15,0,71,0,10,10,1,5,102,1,1,24,0,0,2200,0,0,50,0,0,0,0,50400,0,250,52400,0,0,0,0,0,2010,1,El Dorado_2010
Fresno,2,0,5,7,0,10,0,6,0,1,19,1,13,36,1,1,0,0,0,1,0,12,12,0,16,0,7,0,3,308,1,0,51,1,4,304,0,0,14000,6000,0,2222,0,500,0,0,278200,1700,0,24422,3200,275000,0,302622,0,2010,0,Fresno_2010
Glenn,0,0,1,2,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,5,0,0,8,0,0,0,0,0,0,4000,0,0,0,0,0,0,0,0,0,4000,0,0,0,0,0,2010,1,Glenn_2010
Humboldt,4,3,5,6,0,26,0,8,0,3,26,0,56,24,0,1,0,0,0,3,1,3,3,0,215,0,4,0,0,21,0,1,231,6,0,12,0,1200,0,150,0,275020,0,700,0,0,1800,0,276270,2600,0,0,0,0,0,2010,1,Humboldt_2010
Inyo,3,0,1,0,1,1,0,1,0,0,6,1,12,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7500,0,7500,0,0,0,7500,0,2010,0,Inyo_2010
Kings,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,0,Kings_2010
Lake,4,1,2,10,0,9,0,3,3,12,1,1,20,24,0,0,1,0,0,0,1,1,10,0,17,0,13,0,0,462,0,456,38,1,0,11,0,0,0,0,0,0,0,0,0,0,1000,0,0,1000,0,0,0,0,0,2010,1,Lake_2010
Lassen,2,0,4,2,5,15,0,0,0,2,4,0,22,9,2,1,0,0,0,10,0,0,76,3,240,0,0,0,1,1,0,249,71,2,9,1,24,0,2,60000,1201,1835,0,0,0,18,0,0,2863,217,60000,0,0,0,0,2010,1,Lassen_2010
Lassen,2,0,4,2,5,15,0,0,0,2,4,0,22,9,2,1,0,0,0,10,0,0,76,3,240,0,0,0,1,1,0,0,0,0,0,0,24,0,2,60000,1201,1835,0,0,0,18,0,0,2863,217,60000,0,0,0,0,2010,1,Lassen_2010
Madera,0,0,4,3,2,17,0,0,0,0,21,1,23,23,2,0,0,0,0,0,0,8,4,0,13,0,0,0,0,132,0,21,128,2,0,5,0,0,2000,0,0,500,0,0,0,0,2840,0,820,2900,1620,0,0,5340,820,2010,0,Madera_2010
Mariposa,0,0,4,8,0,10,0,2,0,0,6,1,10,17,4,0,0,0,0,0,0,9,70,0,87,0,5,0,0,4,0,0,111,0,0,64,0,0,10200,5000,0,4996,0,0,0,0,100,0,100,15660,4536,0,0,20296,100,2010,0,Mariposa_2010
