county,arson_x,campfire_x,debris_burning_x,equip._use_x,ltng._x,misc._x,p-w-f_x,powerline_x,railroad_x,smoking_x,undet._x,vehicle_x,.25_acres_or_<_x,.26-9.99_acres_x,10-99_acres_x,100-299_acres_x,300-999_acres_x,1000-4999_acres_x,5000_acres_>_x,arson_y,campfire_y,debris_burning_y,equip_use_y,ltng_y,misc._y,p-w-f_y,powerline_y,railroad_y,smoking_y,undet._y,vehicle_y,brush,grass,timber,woodland,other,arson,campfire,debris_burning,equip._use,ltng.,misc.,p-w-f,power-_line,rail-road,smoking,undet.,vehicle,.25_acres_or_<_y,.26-9.99_acres_y,10-99_acres_y,100-299_acres_y,300-999_acres_y,1000-4999_acres_y,5000_acres_>_y,year,region,county_year
San Joaquin,0,0,1,1,0,5,0,0,0,0,3,0,4,6,0,0,0,0,0,0,0,1,1,0,4,0,0,0,0,1,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,1,San Joaquin_2010
San Luis Obispo,0,0,7,18,1,21,0,2,0,0,29,1,23,48,4,3,0,1,0,0,0,59,408,1,284,0,2,0,0,"1,259",4,29,1940,1,0,48,0,0,1566,40900,0,3501,0,0,0,0,801,7500,3568,10100,100,40500,0,54268,3568,2010,0,San Luis Obispo_2010
San Mateo,0,0,0,1,0,5,0,2,0,1,6,0,8,7,0,0,0,0,0,0,0,0,1,0,3,0,3,0,0,5,0,3,7,1,0,0,0,0,0,0,0,100,0,0,0,0,1500,0,0,1600,0,0,0,0,0,2010,1,San Mateo_2010
Santa Clara,4,0,1,7,0,12,0,0,1,11,1,1,12,22,3,0,0,0,0,5,0,4,31,0,6,0,0,0,0,22,1,2,59,2,0,5,0,0,1000,2900,0,1500,0,0,0,0,0,0,1500,3400,500,0,0,0,0,2010,1,Santa Clara_2010
Santa Cruz,5,0,3,4,0,16,0,4,0,0,13,1,25,21,0,0,0,0,0,3,0,1,1,0,10,0,1,0,0,5,1,3,13,5,0,2,1,0,700,0,0,198000,0,0,0,0,50,2200,751,200200,0,0,0,0,0,2010,1,Santa Cruz_2010
Shasta,5,3,19,15,1,26,0,1,1,38,0,0,36,67,5,1,0,0,0,2,2,28,67,0,208,0,1,0,1,104,0,54,109,20,1,229,0,0,3500,64200,0,6700,0,0,0,0,27550,0,15000,41750,45200,0,0,0,0,2010,1,Shasta_2010
Shasta,5,3,19,15,1,26,0,1,1,38,0,0,36,67,5,1,0,0,0,2,2,28,67,0,208,0,1,0,1,104,0,54,109,20,1,229,0,0,3500,64200,0,6700,0,0,0,0,27550,0,0,0,0,0,0,0,0,2010,1,Shasta_2010
Sierra,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,10000,0,0,10000,0,0,0,0,0,2010,1,Sierra_2010
Siskiyou,2,0,9,5,12,12,0,2,1,12,2,2,37,18,2,0,0,0,0,0,0,1,4,7,32,0,7,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,1,Siskiyou_2010
Siskiyou,2,0,9,5,12,12,0,2,1,12,2,2,37,18,2,0,0,0,0,0,0,1,4,7,32,0,7,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2700,4350,0,0,0,0,0,2010,1,Siskiyou_2010
Siskiyou,2,0,9,5,12,12,0,2,1,12,2,2,37,18,2,0,0,0,0,0,0,1,4,7,32,0,7,0,2,8,0,0,0,0,0,0,0,0,500,50,0,4000,0,0,0,0,0,2500,0,0,0,0,0,0,0,2010,1,Siskiyou_2010
Siskiyou,2,0,9,5,12,12,0,2,1,12,2,2,37,18,2,0,0,0,0,0,0,1,4,7,32,0,7,0,2,8,0,0,0,0,0,0,0,0,500,50,0,4000,0,0,0,0,0,2500,2700,4350,0,0,0,0,0,2010,1,Siskiyou_2010
Siskiyou,2,0,9,5,12,12,0,2,1,12,2,2,37,18,2,0,0,0,0,0,0,1,4,7,32,0,7,0,2,8,0,10,23,4,2,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,1,Siskiyou_2010
Siskiyou,2,0,9,5,12,12,0,2,1,12,2,2,37,18,2,0,0,0,0,0,0,1,4,7,32,0,7,0,2,8,0,10,23,4,2,23,0,0,0,0,0,0,0,0,0,0,0,0,2700,4350,0,0,0,0,0,2010,1,Siskiyou_2010
Siskiyou,2,0,9,5,12,12,0,2,1,12,2,2,37,18,2,0,0,0,0,0,0,1,4,7,32,0,7,0,2,8,0,10,23,4,2,23,0,0,500,50,0,4000,0,0,0,0,0,2500,0,0,0,0,0,0,0,2010,1,Siskiyou_2010
Siskiyou,2,0,9,5,12,12,0,2,1,12,2,2,37,18,2,0,0,0,0,0,0,1,4,7,32,0,7,0,2,8,0,10,23,4,2,23,0,0,500,50,0,4000,0,0,0,0,0,2500,2700,4350,0,0,0,0,0,2010,1,Siskiyou_2010
Solano,0,0,2,3,0,4,0,0,0,5,0,0,2,11,1,0,0,0,0,0,0,3,47,0,6,0,0,0,0,12,0,0,66,0,0,2,0,0,0,10250,0,400,0,0,0,0,500,0,250,900,10000,0,0,0,0,2010,1,Solano_2010
Sonoma,1,0,7,9,0,31,0,7,1,15,4,4,36,36,3,0,0,0,0,0,0,5,27,0,95,0,97,0,1,10,0,3,219,3,0,9,0,0,40,100750,0,15000,0,224450,0,0,0,0,1500,108790,229950,0,0,0,0,2010,1,Sonoma_2010
Tehama,0,0,5,13,0,17,0,3,2,16,3,3,25,31,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,1,Tehama_2010
Tehama,0,0,5,13,0,17,0,3,2,16,3,3,25,31,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10700,38700,1000,0,0,0,0,2010,1,Tehama_2010
Tehama,0,0,5,13,0,17,0,3,2,16,3,3,25,31,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,126,0,0,0,0,5200,10200,0,2500,0,30100,0,1300,1100,0,0,0,0,0,0,0,0,2010,1,Tehama_2010
Tehama,0,0,5,13,0,17,0,3,2,16,3,3,25,31,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,126,0,0,0,0,5200,10200,0,2500,0,30100,0,1300,1100,0,10700,38700,1000,0,0,0,0,2010,1,Tehama_2010
Tehama,0,0,5,13,0,17,0,3,2,16,3,3,25,31,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,1,108,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,1,Tehama_2010
Tehama,0,0,5,13,0,17,0,3,2,16,3,3,25,31,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,1,108,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,10700,38700,1000,0,0,0,0,2010,1,Tehama_2010
Tehama,0,0,5,13,0,17,0,3,2,16,3,3,25,31,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,1,108,0,0,5,0,0,5200,10200,0,2500,0,30100,0,1300,1100,0,0,0,0,0,0,0,0,2010,1,Tehama_2010
Tehama,0,0,5,13,0,17,0,3,2,16,3,3,25,31,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,1,108,0,0,5,0,0,5200,10200,0,2500,0,30100,0,1300,1100,0,10700,38700,1000,0,0,0,0,2010,1,Tehama_2010
Tehama,0,0,5,13,0,17,0,3,2,16,3,3,25,31,3,0,0,0,0,0,0,9,50,0,24,0,2,0,2,19,9,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,1,Tehama_2010
Tehama,0,0,5,13,0,17,0,3,2,16,3,3,25,31,3,0,0,0,0,0,0,9,50,0,24,0,2,0,2,19,9,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10700,38700,1000,0,0,0,0,2010,1,Tehama_2010
Tehama,0,0,5,13,0,17,0,3,2,16,3,3,25,31,3,0,0,0,0,0,0,9,50,0,24,0,2,0,2,19,9,0,0,126,0,0,0,0,5200,10200,0,2500,0,30100,0,1300,1100,0,0,0,0,0,0,0,0,2010,1,Tehama_2010
Tehama,0,0,5,13,0,17,0,3,2,16,3,3,25,31,3,0,0,0,0,0,0,9,50,0,24,0,2,0,2,19,9,0,0,126,0,0,0,0,5200,10200,0,2500,0,30100,0,1300,1100,0,10700,38700,1000,0,0,0,0,2010,1,Tehama_2010
Tehama,0,0,5,13,0,17,0,3,2,16,3,3,25,31,3,0,0,0,0,0,0,9,50,0,24,0,2,0,2,19,9,1,108,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,1,Tehama_2010
Tehama,0,0,5,13,0,17,0,3,2,16,3,3,25,31,3,0,0,0,0,0,0,9,50,0,24,0,2,0,2,19,9,1,108,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,10700,38700,1000,0,0,0,0,2010,1,Tehama_2010
Tehama,0,0,5,13,0,17,0,3,2,16,3,3,25,31,3,0,0,0,0,0,0,9,50,0,24,0,2,0,2,19,9,1,108,0,0,5,0,0,5200,10200,0,2500,0,30100,0,1300,1100,0,0,0,0,0,0,0,0,2010,1,Tehama_2010
Tehama,0,0,5,13,0,17,0,3,2,16,3,3,25,31,3,0,0,0,0,0,0,9,50,0,24,0,2,0,2,19,9,1,108,0,0,5,0,0,5200,10200,0,2500,0,30100,0,1300,1100,0,10700,38700,1000,0,0,0,0,2010,1,Tehama_2010
Tulare,20,0,3,15,1,10,0,2,0,0,24,1,28,31,11,4,2,0,0,313,0,2,"1,033",62,945,0,2,0,0,162,0,0,1590,0,0,929,6100,0,0,23090,620,28085,0,0,0,0,0,0,0,7605,22490,5370,22430,57895,0,2010,0,Tulare_2010
Tuolumne,1,0,5,4,2,18,0,2,0,0,24,3,16,36,7,0,0,0,0,1,0,4,32,2,34,0,8,0,0,195,21,2,272,3,8,13,0,0,400,9450,0,16200,0,500,0,0,52752,44200,40800,25802,56900,0,0,123502,40800,2010,0,Tuolumne_2010
W. San Joaquin,0,0,0,1,0,9,0,2,0,9,0,0,9,8,3,1,0,0,0,0,0,0,100,0,1,0,93,0,0,24,0,0,214,0,0,4,0,0,0,11000,0,6500,0,14500,0,0,100,0,6500,100,14500,11000,0,0,0,2010,1,W. San Joaquin_2010
W. Stanislaus,1,0,0,5,0,10,0,1,0,7,2,2,7,16,2,0,1,0,0,1,0,0,612,0,4,0,5,0,0,94,2,0,715,0,0,1,0,0,0,133500,0,200,0,0,0,0,8100,500,200,3500,8600,0,130000,0,0,2010,1,W. Stanislaus_2010
W. Trinity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,1,W. Trinity_2010
Yolo,0,0,1,3,0,1,0,0,0,4,0,0,1,7,1,0,0,0,0,0,0,0,7,0,1,0,0,0,0,31,0,0,39,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2010,1,Yolo_2010
Yuba,4,0,6,2,0,9,0,3,0,2,16,0,16,24,1,0,0,1,0,2,0,12,16,0,1517,0,4,0,1,37,0,1512,51,0,0,25,0,0,0,0,0,10000,0,0,0,0,7500,0,0,17500,0,0,0,0,0,2010,1,Yuba_2010
2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011
Alameda,1,0,0,9,0,16,0,5,0,0,14,4,15,24,7,1,2,0,0,545,0,0,730,0,116,0,24,0,0,15,77,4,1421,0,0,82,"$137,000 ",$0 ,0,339250,0,7900,0,2500,,0,500,600,60000,3900,14850,22000,387000,0,0,2011,1,Alameda_2012
Amador,1,0,10,6,0,21,0,2,0,0,8,3,25,23,3,0,0,0,0,4,0,24,5,0,29,0,7,0,0,17,28,0,90,2,1,22,$0 ,$0 ,200,0,0,1000,0,0,0,0,3000,0,3000,1200,0,0,0,0,0,2011,1,Amador_2012
Butte,24,1,29,16,2,48,0,9,0,2,27,6,94,62,8,0,0,0,0,20,0,45,29,0,33,0,13,0,1,103,32,2,163,51,5,55,$0 ,$0 ,32000,46400,0,2000,0,0,0,0,25200,20000,2200,123400,0,0,0,0,0,2011,1,Butte_2012
Calaveras,5,1,37,11,3,45,1,2,0,2,25,2,63,62,8,0,1,0,0,0,0,28,189,6,865,0,5,0,12,39,1,153,216,761,1,15,$100 ,$0 ,59076,44300,2000,170975,0,20000,0,4800,21075,0,1926,104750,215650,0,0,0,0,2011,0,Calaveras_2012
Colusa,3,1,0,2,0,2,0,0,0,0,3,0,6,3,2,0,0,0,0,2,0,0,4,0,1,0,0,0,0,70,0,0,77,0,0,0,$0 ,$0 ,0,13000,0,0,0,0,,0,0,0,0,13000,0,0,0,0,0,2011,1,Colusa_2012
Contra Costa,3,0,3,5,1,32,0,1,0,0,21,2,27,32,8,1,0,0,0,18,0,1,57,7,259,0,12,0,0,118,3,2,404,0,13,55,"$2,000 ",$0 ,0,2000,0,660800,0,1200,,0,18450,200,650000,3450,31200,0,0,0,0,2011,1,Contra Costa_2012
Del Norte,2,1,3,1,0,4,0,0,0,0,6,0,14,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,$0 ,$0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,1,Del Norte_2012
E. San Joaquin,1,0,0,1,0,4,0,0,0,0,1,0,1,5,1,0,0,0,0,1,0,0,0,0,8,0,0,0,0,17,0,0,26,0,0,0,$100 ,$0 ,0,7000,0,6110,0,0,0,0,0,0,7000,6210,0,0,0,0,0,2011,0,E. San Joaquin_2012
E. Stanislaus,3,3,0,3,1,22,0,1,0,1,16,2,12,29,7,2,1,1,0,259,0,0,59,"1,122",431,0,3,0,1,276,6,1,2073,0,0,84,"$103,200 ",$35 ,0,8800,224400,17250,0,600,0,0,13310,9200,35,17950,29610,104800,0,224400,0,2011,0,E. Stanislaus_2012
E. Trinity,3,1,1,2,0,10,0,3,0,1,5,2,6,20,2,0,0,0,0,13,1,1,1,0,8,0,32,0,1,10,2,31,26,8,1,3,$0 ,$0 ,0,100,0,0,0,10000,,1000,5000,0,100,6000,10000,0,0,0,0,2011,1,E. Trinity_2012
El Dorado,2,0,42,18,2,53,0,7,0,1,14,4,105,37,1,0,0,0,0,5,0,43,13,0,22,0,9,0,0,3,12,1,32,43,1,32,$0 ,$0 ,10000,3100,0,9700,0,2500,0,0,100,30000,10300,45100,0,0,0,0,0,2011,1,El Dorado_2012
Fresno,5,1,13,24,2,38,0,11,0,0,14,2,14,74,18,4,0,0,0,20,7,35,307,30,367,0,226,0,0,309,18,11,734,3,16,554,"$2,000 ",$500 ,200,15650,0,62335,0,5200,0,0,3200,20000,40802,24833,14450,29000,0,0,0,2011,0,Fresno_2012
Glenn,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,$0 ,$0 ,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,2011,1,Glenn_2012
Humboldt,5,1,14,3,0,17,0,3,0,1,32,4,43,33,3,0,1,0,0,2,0,150,3,0,504,0,2,0,0,24,11,3,532,122,1,37,$0 ,$0 ,400,30000,0,37,0,1000,0,1000,100001,1500,130037,3901,0,0,0,0,0,2011,1,Humboldt_2012
Inyo,2,1,2,3,1,0,0,0,0,1,3,0,8,2,0,0,2,0,1,1,0,395,"5,305",0,0,0,0,0,0,850,0,6545,5,1,0,0,$0 ,$0 ,0,20000,0,0,0,0,0,0,7,0,0,0,0,0,7,0,20000,2011,0,Inyo_2012
Kings,0,0,0,2,0,2,0,0,0,0,1,0,1,2,2,0,0,0,0,0,0,0,11,0,36,0,0,0,0,1,0,0,0,0,0,48,$0 ,$0 ,0,1000,0,200,0,0,0,0,0,0,200,400,600,0,0,0,0,2011,0,Kings_2012
Lake,2,2,11,2,0,16,0,2,0,2,20,0,22,32,3,0,0,0,0,1,0,14,2,0,15,0,3,0,2,45,0,0,32,1,2,48,$100 ,$0 ,40,1000,0,520600,0,0,,0,13100,0,1640,533200,0,0,0,0,0,2011,1,Lake_2012
Lassen,3,0,10,3,8,4,1,1,0,0,5,1,23,11,2,0,0,0,0,4,0,9,0,0,3,0,13,0,0,27,1,12,14,4,4,25,$100 ,$0 ,9022,300,274,10,0,10,0,0,200,0,574,9332,10,0,0,0,0,2011,1,Lassen_2012
Lassen,3,0,10,3,8,4,1,1,0,0,5,1,23,11,2,0,0,0,0,4,0,9,0,0,3,0,13,0,0,27,1,0,0,0,0,0,$100 ,$0 ,9022,300,274,10,0,10,0,0,200,0,574,9332,10,0,0,0,0,2011,1,Lassen_2012
Madera,2,1,14,7,1,16,1,3,0,0,27,1,35,27,10,1,0,0,0,2,2,10,113,0,106,1,31,0,0,436,1,26,667,3,4,2,$200 ,$0 ,100,2025,0,500,0,15000,0,0,8320,0,225,5820,17200,2900,0,0,0,2011,0,Madera_2012
Mariposa,1,0,10,6,1,18,0,1,0,0,12,0,27,18,4,0,0,0,0,1,0,24,10,0,53,0,4,0,0,19,0,36,66,0,1,9,$0 ,$0 ,10001,100,0,2,0,3400,0,0,500,0,3,3500,10500,0,0,0,0,2011,0,Mariposa_2012
Mendocino,13,2,21,10,0,36,1,2,0,2,38,3,46,81,0,0,1,0,0,22,2,20,19,0,659,1,1,0,1,38,3,12,75,37,1,641,$800 ,$0 ,0,0,0,4012,0,0,0,0,26200,50000,11000,67011,0,0,3001,0,0,2011,1,Mendocino_2012
Merced,0,0,0,2,0,8,0,2,0,0,10,1,2,13,5,1,2,0,0,0,0,0,61,0,30,0,39,0,0,693,575,40,1351,0,0,6,$0 ,$0 ,0,60000,0,0,0,0,0,0,9780,11300,0,0,60000,0,21080,0,0,2011,0,Merced_2012
Modoc,0,0,3,1,3,18,0,0,0,0,4,0,17,11,1,0,0,0,0,0,0,4,0,10,18,0,0,0,0,1,0,6,0,0,0,27,$0 ,$0 ,500,200,50,32,0,0,0,0,1100,0,250,1632,0,0,0,0,0,2011,1,Modoc_2012
Monterey,6,1,9,16,0,27,0,5,0,0,7,1,27,29,13,1,2,0,0,22,0,54,276,0,977,0,446,0,0,6,20,883,916,1,0,1,$250 ,$0 ,400,220,0,132586,0,30420,0,0,1100,100,601,1730,2745,0,160000,0,0,2011,0,Monterey_2012
Napa,0,0,3,6,0,10,0,2,0,0,8,1,10,17,2,0,1,0,0,0,0,6,21,0,72,0,3,0,0,517,0,5,103,1,0,510,$0 ,$0 ,0,,0,754050,0,300,,0,0,0,0,4350,750000,0,0,0,0,2011,1,Napa_2012
Nevada,2,1,15,6,3,15,0,1,0,2,14,0,37,21,1,0,0,0,0,2,0,20,2,0,11,0,0,0,2,7,0,3,6,17,1,17,$0 ,$0 ,50,29700,0,500,0,0,0,0,100,0,29000,1350,0,0,0,0,0,2011,1,Nevada_2012
Placer,1,1,13,9,1,22,0,7,0,3,20,1,39,39,0,0,0,0,0,3,0,14,11,0,14,0,4,0,1,10,2,2,38,6,0,12,$0 ,$0 ,5050,500,0,7300,0,41050,0,0,1650,0,1900,53650,0,0,0,0,0,2011,1,Placer_2012
Plumas,2,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,$0 ,$0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,1,Plumas_2012
Plumas,2,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,$0 ,$0 ,0,0,0,0,0,0,0,0,0,0,750,0,0,0,0,0,0,2011,1,Plumas_2012
Plumas,2,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,$0 ,$0 ,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,1,Plumas_2012
Plumas,2,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,$0 ,$0 ,750,0,0,0,0,0,0,0,0,0,750,0,0,0,0,0,0,2011,1,Plumas_2012
Plumas,2,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,$0 ,$0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,1,Plumas_2012
Plumas,2,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,$0 ,$0 ,0,0,0,0,0,0,0,0,0,0,750,0,0,0,0,0,0,2011,1,Plumas_2012
Plumas,2,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,$0 ,$0 ,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,1,Plumas_2012
Plumas,2,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,$0 ,$0 ,750,0,0,0,0,0,0,0,0,0,750,0,0,0,0,0,0,2011,1,Plumas_2012
Plumas,2,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,$0 ,$0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,1,Plumas_2012
Plumas,2,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,$0 ,$0 ,0,0,0,0,0,0,0,0,0,0,750,0,0,0,0,0,0,2011,1,Plumas_2012
Plumas,2,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,$0 ,$0 ,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,1,Plumas_2012
Plumas,2,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,$0 ,$0 ,750,0,0,0,0,0,0,0,0,0,750,0,0,0,0,0,0,2011,1,Plumas_2012
Plumas,2,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,$0 ,$0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,1,Plumas_2012
Plumas,2,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,$0 ,$0 ,0,0,0,0,0,0,0,0,0,0,750,0,0,0,0,0,0,2011,1,Plumas_2012
Plumas,2,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,$0 ,$0 ,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,1,Plumas_2012
Plumas,2,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,$0 ,$0 ,750,0,0,0,0,0,0,0,0,0,750,0,0,0,0,0,0,2011,1,Plumas_2012
Plumas,2,0,0,0,1,0,0,0,0,0,0,0,5,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,$0 ,$0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,1,Plumas_2012
Plumas,2,0,0,0,1,0,0,0,0,0,0,0,5,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,$0 ,$0 ,0,0,0,0,0,0,0,0,0,0,750,0,0,0,0,0,0,2011,1,Plumas_2012
Plumas,2,0,0,0,1,0,0,0,0,0,0,0,5,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,$0 ,$0 ,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,1,Plumas_2012
Plumas,2,0,0,0,1,0,0,0,0,0,0,0,5,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,$0 ,$0 ,750,0,0,0,0,0,0,0,0,0,750,0,0,0,0,0,0,2011,1,Plumas_2012
Plumas,2,0,0,0,1,0,0,0,0,0,0,0,5,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,$0 ,$0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,1,Plumas_2012
Plumas,2,0,0,0,1,0,0,0,0,0,0,0,5,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,$0 ,$0 ,0,0,0,0,0,0,0,0,0,0,750,0,0,0,0,0,0,2011,1,Plumas_2012
Plumas,2,0,0,0,1,0,0,0,0,0,0,0,5,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,$0 ,$0 ,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,1,Plumas_2012
Plumas,2,0,0,0,1,0,0,0,0,0,0,0,5,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,$0 ,$0 ,750,0,0,0,0,0,0,0,0,0,750,0,0,0,0,0,0,2011,1,Plumas_2012
Plumas,2,0,0,0,1,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,$0 ,$0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,1,Plumas_2012
Plumas,2,0,0,0,1,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,$0 ,$0 ,0,0,0,0,0,0,0,0,0,0,750,0,0,0,0,0,0,2011,1,Plumas_2012
Plumas,2,0,0,0,1,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,$0 ,$0 ,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,1,Plumas_2012
Plumas,2,0,0,0,1,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,$0 ,$0 ,750,0,0,0,0,0,0,0,0,0,750,0,0,0,0,0,0,2011,1,Plumas_2012
Plumas,2,0,0,0,1,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,$0 ,$0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,1,Plumas_2012
Plumas,2,0,0,0,1,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,$0 ,$0 ,0,0,0,0,0,0,0,0,0,0,750,0,0,0,0,0,0,2011,1,Plumas_2012
