county_year,county,Arson_x,Campfire_x,Debris Burning_x,Elec. Power_x,Equip. Use_x,Ltng._x,Misc._x,P-W-F_x,Railroad_x,Smoking_x,Undet._x,Vehicle_x,year_x,region_x,.25 acres or <_x,.26-9.99 acres_x,10-99 acres_x,100-299 acres_x,300-999 acres_x,1000-4999 acres_x,5000 acres >_x,year_y,region_y,Arson_y,Campfire_y,Debris Burning_y,Elec. Power_y,Equip. Use_y,Ltng._y,Misc._y,P-W-F_y,Railroad_y,Smoking_y,Undet._y,Vehicle_y,Year,Region,Brush,Grass,Timber,Woodland,Other,year_x,region_x,Arson,Campfire,Debris Burning,Elec. Power,Equip.Use,Ltng.,Misc.,P-W-F,Railroad,Smoking,Undet.,Vehicle,year ,region ,.25 acres or <_y,.26-9.99 acres_y,10-99 acres_y,100-299 acres_y,300-999 acres_y,1000-4999 acres_y,5000 acres >_y,year,region
Modoc_2015,Modoc,0,0,0,0,1,9,0,0,2,0,4,0,2015,north,10,4,1,1,0,0,0,2015,north,0,0,0,0,60,122,0,0,1,0,1,0,2015,northern,62,0,121,1,0,2015,north,$0 ,$0 ,$0 ,,,$4 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2015,north ,$4 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2015,north
Monterey_2015,Monterey,1,0,5,10,4,9,5,1,0,1,11,7,2015,south,30,22,1,0,0,1,0,2015,south,0,0,12,4,5,69,3,3,0,0,"1,104",6,2015,southern,1102,30,1,67,6,2015,south,"$10,000,000 ",$0 ,$500 ,"$1,200 ",$100 ,$200 ,"$1,500 ",$0 ,$0 ,$200 ,$0 ,"$2,010 ",2015,south,"$3,110 ","$2,600 ",$0 ,$0 ,$0 ,"$10,000,000 ",$0 ,2015,south
Napa_2015,Napa,0,3,12,9,3,2,6,0,0,0,15,1,2015,north,32,14,4,0,0,0,1,2015,north,0,2,2,45,1,2,17,0,0,0,"8,103",1,2015,northern,8092,77,2,2,0,2015,north,$0 ,$0 ,$0 ,"$50,000 ",,$0 ,"$7,000 ",$0 ,$0 ,$0 ,"$220,310 ",$0 ,2015,north ,$310 ,"$77,000 ",$0 ,$0 ,$0 ,$0 ,"$200,000 ",2015,north
Nevada_2015,Nevada,12,1,28,14,7,13,13,1,0,1,25,4,2015,north,87,28,2,1,0,1,0,2015,north,11,0,9,4,36,3,106,0,0,0,"2,325",2,2015,northern,16,2352,4,22,102,2015,north,$0 ,$0 ,"$10,000 ",$400 ,"$20,000 ",$0 ,$0 ,$2 ,$0 ,$0 ,"$12,000 ",$0 ,2015,north ,"$11,402 ","$10,000 ","$21,000 ",$0 ,$0 ,$0 ,$0 ,2015,north
Placer_2015,Placer,4,2,24,9,11,12,11,3,1,0,40,8,2015,north,78,45,2,0,0,0,0,2015,north,2,0,13,10,26,6,12,1,0,0,124,5,2015,northern,3,81,13,100,2,2015,north,$0 ,$0 ,"$231,001 ","$16,150 ","$7,000 ","$2,700 ","$1,000 ",$2 ,$0 ,$0 ,"$15,300 ","$16,201 ",2015,north ,"$19,154 ","$255,200 ","$15,000 ",$0 ,$0 ,$0 ,$0 ,2015,north
Plumas_2015,Plumas,2,0,1,0,0,8,1,0,0,0,1,0,2015,north,11,2,0,0,0,0,0,2015,north,0,0,0,0,0,2,0,0,0,0,0,0,2015,northern,0,0,2,0,0,2015,north,$0 ,$0 ,$0 ,,,$300 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2015,north ,$300 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2015,north
Riverside_2015,Riverside,4,12,18,5,8,2,16,5,0,3,40,7,2015,south,85,30,4,0,0,1,0,2015,south,0,81,3,3,"1,063",0,20,1,0,0,59,26,2015,southern,1072,81,0,103,0,2015,south,$0 ,$100 ,$37 ,$11 ,"$24,000 ",$0 ,"$1,000 ",$0 ,$0 ,$0 ,"$8,500 ","$1,500 ",2015,south,"$2,637 ","$32,511 ",$0 ,$0 ,$0 ,$0 ,$0 ,2015,south
Sacramento_2015,Sacramento,1,0,1,2,1,0,3,1,0,0,4,3,2015,north,5,8,0,2,1,0,0,2015,north,357,0,0,0,3,0,236,0,0,0,8,2,2015,northern,0,606,0,0,0,2015,north,$0 ,$0 ,$0 ,,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$100 ,2015,north ,$0 ,$100 ,$0 ,$0 ,$0 ,$0 ,$0 ,2015,north
San Benito_2015,San Benito,2,0,1,3,9,1,1,0,0,0,5,2,2015,south,10,12,1,0,1,0,0,2015,south,0,0,9,695,51,4,2,0,0,0,2,6,2015,southern,701,63,5,0,0,2015,south,$0 ,$0 ,$0 ,"$5,000 ","$10,620 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2015,south,$0 ,"$15,045 ",$575 ,$0 ,$0 ,$0 ,$0 ,2015,south
San Bernardino_2015,San Bernardino,3,9,9,0,2,3,28,4,0,0,26,3,2015,south,66,20,1,0,0,0,0,2015,south,1,2,3,0,1,0,3,2,0,0,41,0,2015,southern,38,10,1,3,1,2015,south,$0 ,$0 ,$0 ,,$200 ,$0 ,$2 ,"$65,000 ",$0 ,$0 ,$900 ,$0 ,2015,south,"$20,400 ","$45,702 ",$0 ,$0 ,$0 ,$0 ,$0 ,2015,south
