county,arson_x,campfire_x,debris_burning_x,equip._use_x,ltng._x,misc._x,powerline_x,p-w-f_x,railroad_x,smoking_x,undet._x,vehicle_x,year_x,region_x,.25_acres_or_<_x,.26-9.99_acres_x,10-99_acres_x,100-299_acres_x,300-999_acres_x,1000-4999_acres_x,5000_acres_>_x,year_y,region_y,arson_y,campfire_y,debris,equip.,ltng._y,misc._y,powerline_y,p-w-f_y,railroad_y,smoking_y,undet._y,vehicle_y,year_x.1,region_x.1,brush,grass,timber,woodland,other,year_y.1,region_y.1,arson,campfire,debris_burning_y,equip._use_y,ltng.,misc.,powerline,p-w-f,rail-road,smoking,undet.,vehicle,year_,region_,.25_acres_or_<_y,.26-9.99_acres_y,10-99_acres_y,100-299_acres_y,300-999_acres_y,1000-4999_acres_y,5000_acres_>_y,year,region,county_year
Mendocino,5.0,7.0,17.0,6.0,1.0,5.0,12.0,7.0,0.0,2.0,31.0,9.0,2012.0,north,45.0,47.0,7.0,1.0,1.0,1.0,0.0,2012.0,north,16,"4,522",12.0,3,8,3,247,4.0,0.0,1.0,497,20.0,2012.0,north,13.0,4812.0,83.0,0.0,425.0,2012.0,north,$0 ,"$4,618 ",$500 ,$300 ,$0 ,"$1,001 ","$1,260,000 ",$2 ,$0 ,$0 ,$0 ,"$5,500 ",2012.0,north ,"$17,301 ",$2 ,$0 ,"$1,250,000 ",$0 ,"$4,618 ",$0 ,2012.0,north,Mendocino_2012
Merced,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,9.0,2.0,2012.0,south,2.0,12.0,0.0,0.0,1.0,0.0,0.0,2012.0,south,0,0,0.0,0,3,1,434,0.0,0.0,0.0,16,2.0,2012.0,south,0.0,453.0,0.0,0.0,3.0,2012.0,south,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$4,000 ",$0 ,2012.0,south,$0 ,"$4,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,2012.0,south,Merced_2012
Modoc,1.0,0.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2012.0,north,3.0,6.0,0.0,0.0,0.0,0.0,0.0,2012.0,north,0,0,9.0,0,2,1,0,0.0,0.0,0.0,1,0.0,2012.0,north,6.0,7.0,0.0,0.0,0.0,2012.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$50 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2012.0,north ,$0 ,$50 ,$0 ,$0 ,$0 ,$0 ,$0 ,2012.0,north,Modoc_2012
Monterey,5.0,5.0,8.0,8.0,2.0,11.0,18.0,2.0,0.0,1.0,6.0,9.0,2012.0,south,33.0,35.0,6.0,0.0,0.0,1.0,0.0,2012.0,south,15,2,11.0,"2,649",3,92,33,2.0,0.0,0.0,4,6.0,2012.0,south,51.0,2739.0,16.0,2.0,9.0,2012.0,south,"$7,600 ",$0 ,"$3,500 ","$421,836 ",$0 ,"$4,500 ","$2,402 ",$500 ,$0 ,$0 ,$0 ,"$4,017 ",2012.0,south,"$10,668 ","$380,052 ","$15,700 ",$0 ,$0 ,"$37,935 ",$0 ,2012.0,south,Monterey_2012
Napa,0.0,1.0,7.0,3.0,0.0,2.0,5.0,0.0,0.0,1.0,8.0,6.0,2012.0,north,12.0,20.0,0.0,1.0,0.0,0.0,0.0,2012.0,north,0,1,206.0,5,0,2,6,0.0,0.0,3.0,10,3.0,2012.0,north,205.0,19.0,2.0,7.0,3.0,2012.0,north,$0 ,$0 ,"$6,000 ","$3,000 ",$0 ,$0 ,"$13,500 ",$0 ,$0 ,$0 ,$103 ,"$65,000 ",2012.0,north ,"$1,000 ","$81,603 ",$0 ,"$5,000 ",$0 ,$0 ,$0 ,2012.0,north,Napa_2012
Nevada,3.0,4.0,24.0,7.0,2.0,6.0,10.0,1.0,0.0,2.0,23.0,8.0,2012.0,north,42.0,48.0,0.0,0.0,0.0,0.0,0.0,2012.0,north,5,4,15.0,9,2,4,11,0.0,0.0,2.0,14,6.0,2012.0,north,11.0,19.0,14.0,5.0,23.0,2012.0,north,$0 ,$0 ,"$20,800 ","$2,080 ",$0 ,"$3,000 ","$19,200 ",$0 ,$0 ,$0 ,$50 ,"$23,700 ",2012.0,north ,"$24,030 ","$44,800 ",$0 ,$0 ,$0 ,$0 ,$0 ,2012.0,north,Nevada_2012
Placer,3.0,2.0,20.0,7.0,4.0,12.0,4.0,0.0,2.0,0.0,39.0,18.0,2012.0,north,64.0,46.0,0.0,0.0,0.0,1.0,0.0,2012.0,north,"2,650",1,17.0,11,1,8,4,0.0,0.0,0.0,23,9.0,2012.0,north,2661.0,21.0,6.0,0.0,36.0,2012.0,north,"$110,000 ",$0 ,"$6,500 ",$0 ,$0 ,"$2,102 ",$0 ,$0 ,$0 ,$0 ,"$2,551 ","$104,202 ",2012.0,north ,"$104,854 ","$10,501 ",$0 ,$0 ,$0 ,"$110,000 ",$0 ,2012.0,north,Placer_2012
Plumas,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,2012.0,north,5.0,2.0,0.0,1.0,0.0,0.0,0.0,2012.0,north,0,0,1.0,0,0,0,0,0.0,0.0,0.0,100,0.0,2012.0,north,100.0,0.0,0.0,1.0,0.0,2012.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$5 ,$0 ,2012.0,north ,$5 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2012.0,north,Plumas_2012
Riverside,9.0,3.0,15.0,11.0,8.0,27.0,8.0,6.0,0.0,8.0,69.0,8.0,2012.0,south,69.0,82.0,13.0,2.0,4.0,2.0,0.0,2012.0,south,54,2,16.0,919,"2,750",489,440,2.0,0.0,7.0,"1,570",7.0,2012.0,south,3645.0,2162.0,4.0,0.0,445.0,2012.0,south,$0 ,$0 ,"$150,000 ","$650,250 ","$250,500 ","$320,000 ","$11,000 ",$0 ,$0 ,"$2,001 ","$105,200 ","$5,500 ",2012.0,south,"$120,751 ","$363,000 ",$500 ,"$100,200 ","$660,000 ","$250,000 ",$0 ,2012.0,south,Riverside_2012
Sacramento,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,6.0,0.0,2012.0,north,5.0,4.0,3.0,0.0,0.0,0.0,0.0,2012.0,north,0,0,0.0,50,0,3,0,0.0,0.0,14.0,22,0.0,2012.0,north,0.0,82.0,0.0,0.0,7.0,2012.0,north,$0 ,$0 ,$0 ,"$125,012 ",$0 ,"$135,900 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2012.0,north ,$0 ,"$135,912 ","$125,000 ",$0 ,$0 ,$0 ,$0 ,2012.0,north,Sacramento_2012
