county,arson_x,campfire_x,debris_burning_x,equip._use_x,ltng._x,misc._x,p-w-f_x,powerline_x,railroad_x,smoking_x,undet._x,vehicle_x,year_x,region_x,.25_acres_or_<_x,.26-9.99_acres_x,10-99_acres_x,100-299_acres_x,300-999_acres_x,1000-4999_acres_x,5000_acres_>_x,year_y,region_y,arson_y,campfire_y,debris_burning_y,equip._use_y,ltng._y,misc._y,p-w-f_y,powerline_y,railroad_y,smoking_y,undet._y,vehicle_y,year,county.1,brush,grass,timber,woodland,other,year_x.1,region_x.1,arson,campfire,debris_burning,equip._use,ltng.,misc.,p-w-f,power-_line,rail-road,smoking,undet.,vehicle,year_,region_,.25_acres_or_<_y,.26-9.99_acres_y,10-99_acres_y,100-299_acres_y,300-999_acres_y,1000-4999_acres_y,5000_acres_>_y,year_y.1,region_y.1,county_year
Madera,0.0,0.0,4.0,3.0,2.0,17.0,0.0,0.0,0.0,0.0,21.0,1.0,2010.0,south,23.0,23.0,2.0,0.0,0.0,0.0,0.0,2010.0,south,0.0,0.0,8.0,4,0.0,13,0.0,0.0,0.0,0.0,132,0.0,2010.0,south,21.0,128.0,2.0,0.0,5.0,2010.0,south,$0 ,$0 ,"$2,000 ",$0 ,$0 ,$500 ,$0 ,$0 ,$0 ,$0 ,"$2,840 ",$0 ,2010.0,south,$820 ,"$2,900 ","$1,620 ",$0 ,$0 ,"$5,340 ",$820 ,2010.0,south,Madera_2010
Mariposa,0.0,0.0,4.0,8.0,0.0,10.0,0.0,2.0,0.0,0.0,6.0,1.0,2010.0,south,10.0,17.0,4.0,0.0,0.0,0.0,0.0,2010.0,south,0.0,0.0,9.0,70,0.0,87,0.0,5.0,0.0,0.0,4,0.0,2010.0,south,0.0,111.0,0.0,0.0,64.0,2010.0,south,$0 ,$0 ,"$10,200 ","$5,000 ",$0 ,"$4,996 ",$0 ,$0 ,$0 ,$0 ,$100 ,$0 ,2010.0,south,$100 ,"$15,660 ","$4,536 ",$0 ,$0 ,"$20,296 ",$100 ,2010.0,south,Mariposa_2010
Mendocino,8.0,1.0,11.0,15.0,0.0,23.0,0.0,4.0,0.0,1.0,23.0,1.0,2010.0,north,45.0,36.0,6.0,0.0,0.0,0.0,0.0,2010.0,north,4.0,0.0,9.0,68,0.0,15,0.0,3.0,0.0,0.0,134,0.0,2010.0,north,4.0,162.0,9.0,0.0,60.0,2010.0,north,"$1,210 ",$0 ,$0 ,"$3,700 ",$0 ,$0 ,$0 ,$500 ,$0 ,$0 ,"$6,300 ","$20,000 ",2010.0,north ,"$21,710 ","$3,200 ","$6,800 ",$0 ,$0 ,$0 ,$0 ,2010.0,north,Mendocino_2010
Mendocino,8.0,1.0,11.0,15.0,0.0,23.0,0.0,4.0,0.0,1.0,23.0,1.0,2010.0,north,45.0,36.0,6.0,0.0,0.0,0.0,0.0,2010.0,north,4.0,0.0,9.0,68,0.0,15,0.0,3.0,0.0,0.0,134,0.0,2010.0,north,4.0,162.0,9.0,0.0,60.0,2010.0,north,"$1,210 ",$0 ,$0 ,"$3,700 ",$0 ,$0 ,$0 ,$500 ,$0 ,$0 ,"$6,300 ","$20,000 ",2010.0,north ,"$21,710 ","$3,200 ","$6,800 ",$0 ,$0 ,$0 ,$0 ,2010.0,north,Mendocino_2010
Merced,1.0,0.0,1.0,4.0,0.0,3.0,0.0,3.0,0.0,1.0,14.0,1.0,2010.0,south,6.0,11.0,5.0,4.0,1.0,1.0,0.0,2010.0,south,2.0,0.0,2.0,300,0.0,465,0.0,164.0,0.0,57.0,"2,067",3.0,2010.0,south,0.0,3040.0,0.0,0.0,19.0,2010.0,south,$0 ,$0 ,$0 ,"$2,700 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$47,000 ",$0 ,2010.0,south,$0 ,$0 ,"$2,700 ","$3,000 ",$0 ,"$49,700 ",$0 ,2010.0,south,Merced_2010
Modoc,1.0,0.0,1.0,0.0,5.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,2010.0,north,10.0,5.0,1.0,0.0,0.0,0.0,0.0,2010.0,north,1.0,0.0,1.0,0,82.0,1,0.0,0.0,0.0,0.0,1,0.0,2010.0,north,81.0,2.0,1.0,1.0,1.0,2010.0,north,$8 ,$0 ,$4 ,$0 ,"$1,250 ",$52 ,$0 ,$0 ,$0 ,$0 ,$50 ,$0 ,2010.0,north ,$204 ,$512 ,$648 ,$0 ,$0 ,$0 ,$0 ,2010.0,north,Modoc_2010
Monterey,3.0,0.0,5.0,10.0,0.0,19.0,0.0,3.0,0.0,1.0,10.0,2.0,2010.0,south,16.0,26.0,11.0,0.0,0.0,0.0,0.0,2010.0,south,4.0,0.0,77.0,105,0.0,181,0.0,13.0,0.0,2.0,19,2.0,2010.0,south,23.0,370.0,1.0,0.0,9.0,2010.0,south,$0 ,$0 ,"$2,000 ","$18,200 ",$0 ,"$7,350 ",$0 ,$0 ,$0 ,$0 ,$200 ,$0 ,2010.0,south,$0 ,"$1,250 ","$26,500 ",$0 ,$0 ,"$27,750 ",$0 ,2010.0,south,Monterey_2010
Napa,3.0,1.0,6.0,6.0,0.0,6.0,0.0,2.0,1.0,20.0,3.0,3.0,2010.0,north,14.0,29.0,5.0,0.0,0.0,0.0,0.0,2010.0,north,53.0,0.0,6.0,48,0.0,5,0.0,1.0,0.0,1.0,55,2.0,2010.0,north,6.0,129.0,2.0,0.0,34.0,2010.0,north,$0 ,$0 ,$0 ,"$200,025 ",$0 ,$0 ,$0 ,$200 ,$0 ,$0 ,"$1,500 ",$0 ,2010.0,north ,$0 ,"$1,725 ","$200,000 ",$0 ,$0 ,$0 ,$0 ,2010.0,north,Napa_2010
Nevada,3.0,2.0,19.0,5.0,0.0,18.0,0.0,2.0,0.0,1.0,22.0,0.0,2010.0,north,37.0,35.0,0.0,0.0,0.0,0.0,0.0,2010.0,north,1.0,0.0,17.0,8,0.0,12,0.0,3.0,0.0,0.0,14,0.0,2010.0,north,8.0,24.0,3.0,7.0,13.0,2010.0,north,$0 ,$0 ,$0 ,"$9,500 ",$0 ,$0 ,$0 ,"$5,000 ",$0 ,$0 ,"$1,,500",$0 ,2010.0,north ,$0 ,"$16,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north,Nevada_2010
Placer,8.0,0.0,7.0,17.0,0.0,30.0,0.0,3.0,0.0,1.0,44.0,0.0,2010.0,north,48.0,57.0,5.0,0.0,0.0,0.0,0.0,2010.0,north,5.0,0.0,15.0,28,0.0,130,0.0,0.0,0.0,0.0,111,0.0,2010.0,north,3.0,209.0,2.0,6.0,69.0,2010.0,north,$200 ,$0 ,"$10,000 ","$2,050 ",$0 ,"$13,001 ",$0 ,$0 ,$0 ,$0 ,"$12,309 ",$0 ,2010.0,north ,"$1,652 ","$22,908 ","$13,000 ",$0 ,$0 ,$0 ,$0 ,2010.0,north,Placer_2010
Plumas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2010.0,north,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010.0,north,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,2010.0,north,0.0,0.0,0.0,0.0,0.0,2010.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north,Plumas_2010
Plumas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2010.0,north,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010.0,north,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,2010.0,north,0.0,0.0,0.0,0.0,0.0,2010.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north,Plumas_2010
Plumas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2010.0,north,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010.0,north,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,2010.0,north,0.0,0.0,0.0,0.0,0.0,2010.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north,Plumas_2010
Plumas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2010.0,north,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010.0,north,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,2010.0,north,0.0,0.0,0.0,0.0,0.0,2010.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north,Plumas_2010
Plumas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2010.0,north,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010.0,north,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,2010.0,north,0.0,0.0,0.0,0.0,1.0,2010.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north,Plumas_2010
Plumas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2010.0,north,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010.0,north,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,2010.0,north,0.0,0.0,0.0,0.0,1.0,2010.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north,Plumas_2010
Plumas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2010.0,north,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010.0,north,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,2010.0,north,0.0,0.0,0.0,0.0,1.0,2010.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north,Plumas_2010
Plumas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2010.0,north,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010.0,north,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,2010.0,north,0.0,0.0,0.0,0.0,1.0,2010.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north,Plumas_2010
Plumas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2010.0,north,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010.0,north,0.0,0.0,0.0,1,0.0,0,0.0,0.0,0.0,0.0,0,0.0,2010.0,north,0.0,0.0,0.0,0.0,0.0,2010.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north,Plumas_2010
Plumas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2010.0,north,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010.0,north,0.0,0.0,0.0,1,0.0,0,0.0,0.0,0.0,0.0,0,0.0,2010.0,north,0.0,0.0,0.0,0.0,0.0,2010.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north,Plumas_2010
Plumas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2010.0,north,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010.0,north,0.0,0.0,0.0,1,0.0,0,0.0,0.0,0.0,0.0,0,0.0,2010.0,north,0.0,0.0,0.0,0.0,0.0,2010.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north,Plumas_2010
Plumas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2010.0,north,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010.0,north,0.0,0.0,0.0,1,0.0,0,0.0,0.0,0.0,0.0,0,0.0,2010.0,north,0.0,0.0,0.0,0.0,0.0,2010.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north,Plumas_2010
Plumas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2010.0,north,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010.0,north,0.0,0.0,0.0,1,0.0,0,0.0,0.0,0.0,0.0,0,0.0,2010.0,north,0.0,0.0,0.0,0.0,1.0,2010.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north,Plumas_2010
Plumas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2010.0,north,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010.0,north,0.0,0.0,0.0,1,0.0,0,0.0,0.0,0.0,0.0,0,0.0,2010.0,north,0.0,0.0,0.0,0.0,1.0,2010.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north,Plumas_2010
Plumas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2010.0,north,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010.0,north,0.0,0.0,0.0,1,0.0,0,0.0,0.0,0.0,0.0,0,0.0,2010.0,north,0.0,0.0,0.0,0.0,1.0,2010.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north,Plumas_2010
